Nathan Eovaldi,5.7,6.5,9,7.0
Tyler Wells,4.19,4.5,8,6.2
Yusei Kikuchi,4.4,5.5,7,4.2
Michael Grove,4.26,4.5,7,5.0
AJ Smith-Shawver,5.05,4.5,6,5.2
Ryne Nelson,3.01,4.5,5,4.0
MacKenzie Gore,4.54,5.5,4,5.2
Sonny Gray,6.18,6.5,3,4.0
Shohei Ohtani,8.03,7.5,3,6.0
Logan Allen,5.05,4.5,2,3.0
Cristian Javier,7.19,5.5,2,6.0
Kyle Freeland,4.73,3.5,1,4.1
Bryan Woo,4.7,5.5,9,5.2
Taijuan Walker,4.47,5.5,8,8.0
Tylor Megill,4.14,4.5,7,6.0
JP Sears,4.77,5.5,7,7.0
Zac Gallen,5.42,4.5,7,7.0
Patrick Sandoval,4.98,4.5,6,7.0
Yu Darvish,6.7,6.5,5,5.0
Rich Hill,4.15,5.5,5,5.0
Shane McClanahan,6.33,6.5,5,6.2
Brady Singer,6.05,4.5,5,5.1
Dinelson Lamet,6.15,4.5,5,4.0
Michael Kopech,5.05,7.5,4,4.1
Julio Teheran,4.31,4.5,4,6.0
Kevin Gausman,6.45,7.5,4,6.0
Cole Irvin,3.99,4.5,4,4.0
J.P. France,4.7,5.5,3,6.2
Martin Perez,4.54,3.5,3,6.0
Jared Shuster,4.7,4.5,2,5.2
Trevor Williams,3.49,4.5,2,4.1
Andrew Abbott,4.7,4.5,2,6.0
Tanner Houck,4.1,5.5,2,4.0
Miles Mikolas,4.39,4.5,1,6.0
Domingo German,4.61,4.5,1,2.0
Sandy Alcantara,4.23,4.5,1,5.1
Kyle Hendricks,4.22,4.5,1,5.0
Blake Snell,6.72,5.5,12,6.0
Braxton Garrett,5.13,4.5,8,6.0
Kodai Senga,4.84,5.5,8,6.2
Kyle Gibson,4.35,4.5,7,6.0
Mitch Keller,5.57,6.5,7,5.0
Shane Bieber,4.92,4.5,5,7.1
Zach Eflin,5.43,4.5,5,6.0
Lucas Giolito,6.1,6.5,5,5.0
Bryce Elder,4.96,5.5,4,6.0
Justin Steele,5.79,4.5,4,5.0
Jake Irvin,4.84,3.5,4,5.0
Wade Miley,4.08,3.5,4,5.0
Hunter Greene,7.17,6.5,3,6.0
Logan Gilbert,6.27,6.5,3,5.1
Adam Wainwright,3.98,3.5,3,6.1
Tommy Henry,3.63,3.5,3,6.0
Brandon Bielak,4.07,4.5,3,4.2
Connor Seabold,4.66,3.5,1,3.0
Lance Lynn,6.15,6.5,16,7.0
Freddy Peralta,5.82,6.5,9,6.0
Charlie Morton,6.37,7.5,8,5.0
Hogan Harris,4.61,4.5,7,6.0
Dean Kremer,4.22,4.5,7,5.0
Tanner Bibee,4.61,4.5,6,5.0
Tyler Anderson,4.56,4.5,6,5.0
Bryce Miller,4.61,5.5,6,7.0
Luis Ortiz,3.72,4.5,6,4.2
Jesus Luzardo,6.09,5.5,5,6.0
Ronel Blanco,5.46,5.5,5,5.2
Logan Webb,6.05,5.5,5,7.0
Carlos Carrasco,4.31,4.5,4,3.0
Zack Wheeler,6.56,7.5,4,6.0
Zack Greinke,3.39,3.5,4,5.0
Patrick Corbin,3.2,4.5,3,6.0
Chris Bassitt,4.96,4.5,2,3.2
Jon Gray,5.49,5.5,2,2.1
Chase Anderson,3.67,3.5,2,3.0
Matthew Liberatore,3.94,3.5,2,4.0
Zach Davies,3.31,3.5,2,3.2
Luke Weaver,4.81,4.5,1,5.0
Jameson Taillon,4.73,4.5,1,5.1
Joe Musgrove,6.12,5.5,1,6.0
Pablo Lopez,7.14,5.5,9,5.2
Reese Olson,4.19,4.5,8,6.0
Max Scherzer,6.21,6.5,8,8.0
James Paxton,6.65,6.5,7,6.1
Osvaldo Bido,4.91,4.5,7,6.0
Merrill Kelly,4.83,5.5,7,7.0
Hunter Brown,7.0,5.5,7,5.2
