Name,Unnamed: 1,Unnamed: 2,Age,Lev,Tm, ,Opp,GS,W,L,SV,IP,H,R,ER,BB,SO,HR,HBP,GSc,AB,2B,3B,IBB,GDP,SF,SB,CS,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,Date
James Paxton,gl,box,34,Maj-AL,Boston,@,Los Angeles,1,,1,,3.0,4,5,5,3,5,2,0,33,12,1,0,0,0,1,0,0,0,16,59,59%,15%,8%,25%,38%,0%,2023-05-24
Cal Quantrill,gl,box,28,Maj-AL,Cleveland,,Chicago,1,,1,,4.0,4,6,6,3,2,0,0,29,14,1,0,0,0,2,1,0,1,19,64,55%,11%,6%,50%,29%,0%,2023-05-24
Marcus Stroman,gl,box,32,Maj-NL,Chicago,,New York,1,1,,,8.0,4,2,2,2,3,1,0,67,25,0,0,0,2,0,1,0,0,27,88,67%,25%,2%,82%,0%,0%,2023-05-24
Adrian Houser,gl,box,30,Maj-NL,Milwaukee,,Houston,1,1,,,5.1,2,0,0,1,3,0,0,66,19,1,0,0,0,0,0,0,0,20,73,64%,12%,12%,56%,31%,0%,2023-05-24
Ben Lively,gl,box,31,Maj-NL,Cincinnati,,St. Louis,1,1,,,6.0,5,2,2,2,8,2,0,60,23,0,0,0,0,0,0,0,0,25,103,63%,19%,14%,47%,27%,7%,2023-05-24
Bryce Elder,gl,box,24,Maj-NL,Atlanta,,Los Angeles,1,,,,6.0,7,1,1,1,6,1,1,59,24,0,0,0,1,0,0,0,0,26,101,65%,17%,16%,61%,22%,6%,2023-05-24
Sandy Alcantara,gl,box,27,Maj-NL,Miami,@,Colorado,1,1,,,6.0,4,2,2,3,3,1,0,56,22,1,1,0,0,0,0,0,0,25,90,64%,14%,7%,42%,32%,0%,2023-05-24
Tony Gonsolin,gl,box,29,Maj-NL,Los Angeles,@,Atlanta,1,,,,5.2,3,3,3,2,4,2,0,53,20,1,0,0,0,0,0,0,0,22,88,64%,10%,11%,31%,0%,6%,2023-05-24
Trevor Williams,gl,box,31,Maj-NL,Washington,,San Diego,1,1,,,5.2,3,3,3,3,5,2,0,53,20,0,0,0,0,0,0,0,0,23,95,57%,18%,4%,33%,20%,0%,2023-05-24
Zac Gallen,gl,box,27,Maj-NL,Arizona,@,Philadelphia,1,,,,5.2,5,2,2,2,3,0,0,52,22,0,0,0,0,0,0,0,0,24,101,63%,13%,8%,21%,26%,16%,2023-05-24
Johan Oviedo,gl,box,25,Maj-NL,Pittsburgh,,Texas,1,,1,,5.2,6,3,3,2,5,1,0,48,25,2,0,0,0,0,1,0,0,27,95,66%,17%,7%,40%,30%,5%,2023-05-24
Kodai Senga,gl,box,30,Maj-NL,New York,@,Chicago,1,,1,,5.0,6,3,3,5,6,0,0,44,21,2,0,0,0,0,0,0,0,26,106,61%,12%,10%,40%,40%,13%,2023-05-24
Ryan Weathers,gl,box,23,Maj-NL,San Diego,@,Washington,1,,1,,6.0,7,5,4,2,4,0,0,42,23,2,0,0,0,1,0,0,1,26,93,66%,15%,9%,35%,25%,10%,2023-05-24
Ranger Suárez,gl,box,27,Maj-NL,Philadelphia,,Arizona,1,,,,5.0,5,5,5,1,5,1,0,41,20,3,0,0,0,0,0,0,0,21,85,66%,20%,9%,60%,20%,0%,2023-05-24
Anthony DeSclafani,gl,box,33,Maj-NL,San Francisco,@,Minnesota,1,,1,,5.0,6,7,4,2,6,2,1,37,22,2,0,0,0,1,3,0,0,26,97,61%,15%,10%,24%,35%,6%,2023-05-24
Karl Kauffmann,gl,box,25,Maj-NL,Colorado,,Miami,1,,1,,4.1,6,5,5,3,2,0,1,30,16,2,0,0,2,1,2,0,0,21,83,55%,14%,7%,40%,27%,0%,2023-05-24
Steven Matz,gl,box,32,Maj-NL,St. Louis,@,Cincinnati,1,,1,,4.0,11,6,6,2,2,1,0,16,22,1,0,0,0,0,2,0,0,24,90,68%,18%,10%,45%,30%,5%,2023-05-24
Logan Gilbert,gl,box,26,Maj-AL,Seattle,,Oakland,1,1,,,8.0,3,2,2,0,6,1,0,74,27,1,0,0,0,0,0,0,0,27,77,77%,16%,17%,43%,14%,14%,2023-05-25
Kyle Gibson,gl,box,35,Maj-AL,Baltimore,@,New York,1,1,,,7.0,2,0,0,4,3,0,0,72,21,0,0,0,2,0,1,0,0,25,96,58%,17%,6%,56%,17%,0%,2023-05-25
Alex Faedo,gl,box,27,Maj-AL,Detroit,,Chicago,1,1,,,6.0,3,2,2,0,10,1,0,68,21,0,0,0,0,0,1,0,0,21,94,63%,13%,18%,27%,45%,18%,2023-05-25
Zach Eflin,gl,box,29,Maj-AL,Tampa Bay,,Toronto,1,1,,,7.0,6,1,1,2,0,0,0,59,26,0,0,0,2,0,0,0,0,28,94,63%,20%,3%,69%,19%,0%,2023-05-25
JP Sears,gl,box,27,Maj-AL,Oakland,@,Seattle,1,,,,5.0,3,1,1,0,1,1,2,58,17,0,0,0,0,0,0,1,1,19,59,68%,19%,3%,31%,25%,0%,2023-05-25
Clarke Schmidt,gl,box,27,Maj-AL,New York,,Baltimore,1,,1,,5.0,5,1,1,2,4,0,0,55,20,1,0,0,0,0,0,0,0,22,97,67%,11%,12%,38%,31%,6%,2023-05-25
Alek Manoah,gl,box,25,Maj-AL,Toronto,@,Tampa Bay,1,,1,,3.0,3,5,4,5,6,0,0,36,13,1,1,0,0,0,5,0,0,18,87,51%,15%,9%,57%,29%,14%,2023-05-25
Lucas Giolito,gl,box,28,Maj-AL,Chicago,@,Detroit,1,,1,,3.2,6,4,4,7,4,1,0,30,15,1,0,0,1,0,1,0,0,22,89,55%,16%,9%,36%,45%,0%,2023-05-25
Luke Weaver,gl,box,29,Maj-NL,Cincinnati,,St. Louis,1,,,,6.1,3,0,0,1,6,0,1,72,22,2,0,0,0,0,0,0,0,24,86,70%,20%,14%,25%,25%,0%,2023-05-25
Miles Mikolas,gl,box,34,Maj-NL,St. Louis,@,Cincinnati,1,1,,,7.0,5,0,0,0,5,0,0,72,26,0,0,0,1,0,0,0,0,26,95,68%,22%,4%,48%,19%,10%,2023-05-25
Carlos Carrasco,gl,box,36,Maj-NL,New York,@,Chicago,1,1,,,6.2,5,1,1,2,4,1,0,62,25,0,0,0,0,0,0,0,0,27,100,66%,21%,9%,57%,10%,10%,2023-05-25
Julio Teheran,gl,box,32,Maj-NL,Milwaukee,,San Francisco,1,,1,,5.0,4,1,1,1,5,0,0,59,19,0,0,0,0,0,3,0,0,20,83,65%,22%,8%,14%,36%,7%,2023-05-25
Blake Snell,gl,box,30,Maj-NL,San Diego,@,Washington,1,,,,5.0,4,1,1,4,6,0,1,57,19,1,0,0,0,0,0,0,0,24,99,54%,10%,11%,23%,46%,8%,2023-05-25
Scott Alexander,gl,box,33,Maj-NL,San Francisco,@,Milwaukee,1,,,,1.0,0,0,0,0,1,0,0,54,3,0,0,0,0,0,0,0,0,3,8,75%,25%,25%,50%,0%,0%,2023-05-25
Jake Irvin,gl,box,26,Maj-NL,Washington,,San Diego,1,,,,4.0,2,2,2,4,4,1,1,50,13,0,0,0,1,0,0,0,1,18,76,49%,16%,5%,33%,11%,22%,2023-05-25
Kyle Freeland,gl,box,30,Maj-NL,Colorado,,Miami,1,,,,5.0,7,2,2,2,4,0,0,47,22,0,2,0,0,0,0,0,0,24,91,66%,12%,9%,28%,39%,6%,2023-05-25
Braxton Garrett,gl,box,25,Maj-NL,Miami,@,Colorado,1,,,,5.0,6,2,2,3,3,1,0,47,19,1,0,0,2,0,0,0,0,22,82,57%,7%,15%,44%,31%,0%,2023-05-25
Aaron Nola,gl,box,30,Maj-NL,Philadelphia,@,Atlanta,1,,,,6.0,8,5,5,2,7,3,0,41,25,1,0,0,0,1,2,0,0,28,99,68%,11%,19%,42%,32%,0%,2023-05-25
Dylan Dodd,gl,box,25,Maj-NL,Atlanta,,Philadelphia,1,,,,5.0,7,4,4,1,3,2,1,39,21,1,0,0,1,0,0,0,0,23,83,67%,19%,10%,39%,17%,0%,2023-05-25
Kyle Hendricks,gl,box,33,Maj-NL,Chicago,,New York,1,,1,,4.1,6,5,3,2,5,0,1,38,18,0,0,0,0,1,1,0,0,22,86,65%,22%,9%,36%,29%,0%,2023-05-25
Jon Gray,gl,box,31,Maj-AL,Texas,@,Baltimore,1,1,,,7.0,4,1,1,1,8,1,0,72,24,1,0,0,1,0,0,0,0,25,92,66%,12%,16%,31%,31%,13%,2023-05-26
Hunter Brown,gl,box,24,Maj-AL,Houston,@,Oakland,1,1,,,7.0,4,2,2,1,10,1,0,70,25,0,0,0,0,0,1,0,0,26,88,69%,23%,15%,67%,7%,7%,2023-05-26
Kevin Gausman,gl,box,32,Maj-AL,Toronto,@,Minnesota,1,1,,,5.1,4,1,1,5,8,0,0,59,20,1,0,0,0,0,0,0,0,25,106,61%,18%,11%,42%,25%,8%,2023-05-26
Lance Lynn,gl,box,36,Maj-AL,Chicago,@,Detroit,1,1,,,6.0,3,3,1,5,5,0,1,58,21,1,0,0,2,0,0,0,0,27,105,56%,12%,8%,63%,13%,0%,2023-05-26
Chris Sale,gl,box,34,Maj-AL,Boston,@,Arizona,1,1,,,5.0,4,1,1,1,3,0,0,57,18,0,1,0,1,0,1,0,0,19,73,60%,15%,8%,33%,27%,20%,2023-05-26
Shane Bieber,gl,box,28,Maj-AL,Cleveland,,St. Louis,1,1,,,6.2,5,2,2,4,2,0,0,54,22,0,0,0,0,2,0,1,0,28,108,56%,18%,6%,45%,23%,5%,2023-05-26
Randy Vásquez,gl,box,24,Maj-AL,New York,,San Diego,1,,1,,4.2,4,2,2,3,6,1,2,51,18,0,0,0,0,0,0,0,0,23,84,61%,24%,7%,17%,42%,0%,2023-05-26
Louie Varland,gl,box,25,Maj-AL,Minnesota,,Toronto,1,,1,,6.0,7,3,3,0,3,2,0,49,25,2,1,0,0,0,0,0,0,25,100,75%,16%,7%,36%,32%,5%,2023-05-26
Jalen Beeks,gl,box,29,Maj-AL,Tampa Bay,,Los Angeles,1,,,,1.2,3,1,1,1,2,0,0,46,8,0,0,0,0,0,0,0,0,9,31,61%,23%,13%,50%,33%,17%,2023-05-26
Reid Detmers,gl,box,23,Maj-AL,Los Angeles,,Miami,1,,1,,5.0,10,3,3,2,5,1,0,38,24,0,0,0,0,0,0,1,0,26,95,64%,20%,12%,21%,37%,0%,2023-05-26
James Kaprielian,gl,box,29,Maj-AL,Oakland,,Houston,1,,1,,5.0,8,5,4,2,4,0,0,35,22,1,0,0,1,0,1,0,0,25,93,65%,14%,12%,22%,22%,11%,2023-05-26
Jordan Lyles,gl,box,32,Maj-AL,Kansas City,,Washington,1,,1,,5.0,6,5,5,3,2,2,0,34,20,2,0,0,0,0,0,0,1,23,98,61%,12%,9%,33%,17%,22%,2023-05-26
Joey Wentz,gl,box,25,Maj-AL,Detroit,,Chicago,1,,1,,4.0,6,5,5,2,4,0,0,32,18,1,2,0,0,0,0,0,0,20,80,63%,13%,14%,36%,29%,0%,2023-05-26
George Kirby,gl,box,25,Maj-AL,Seattle,,Pittsburgh,1,,1,,4.2,9,7,7,1,4,4,0,21,23,1,1,0,0,0,1,0,0,24,92,66%,15%,4%,21%,11%,11%,2023-05-26
Grayson Rodriguez,gl,box,23,Maj-AL,Baltimore,,Texas,1,,1,,3.1,6,9,8,3,6,3,0,17,17,0,1,0,0,0,0,0,0,20,83,59%,17%,14%,27%,27%,0%,2023-05-26
Hunter Greene,gl,box,23,Maj-NL,Cincinnati,@,Chicago,1,1,,,6.0,0,0,0,2,11,0,0,81,18,0,0,0,0,0,0,0,0,20,110,61%,15%,13%,43%,29%,14%,2023-05-26
Max Scherzer,gl,box,38,Maj-NL,New York,@,Colorado,1,1,,,7.0,6,1,1,0,8,1,0,69,27,2,0,0,0,0,0,0,0,27,102,73%,10%,18%,32%,26%,11%,2023-05-26
Joe Musgrove,gl,box,30,Maj-NL,San Diego,@,New York,1,1,,,6.1,6,1,1,0,6,0,0,63,25,1,0,0,0,0,0,0,0,25,88,69%,22%,9%,42%,37%,11%,2023-05-26
Alex Wood,gl,box,32,Maj-NL,San Francisco,@,Milwaukee,1,1,,,5.2,3,1,1,5,5,0,0,59,19,0,0,0,1,0,0,0,0,24,93,59%,19%,9%,64%,21%,0%,2023-05-26
Jesús Luzardo,gl,box,25,Maj-NL,Miami,@,Los Angeles,1,1,,,5.0,7,1,1,1,7,0,0,55,20,1,0,0,2,0,0,0,0,21,91,63%,14%,19%,54%,31%,0%,2023-05-26
Jared Shuster,gl,box,24,Maj-NL,Atlanta,,Philadelphia,1,,,,5.2,3,3,3,3,5,0,0,53,20,1,1,0,0,0,1,0,0,23,89,64%,16%,13%,33%,7%,0%,2023-05-26
Connor Seabold,gl,box,27,Maj-NL,Colorado,,New York,1,,1,,4.2,4,4,3,2,2,1,1,42,20,0,1,0,0,0,0,0,0,23,90,58%,14%,6%,33%,33%,6%,2023-05-26
Taijuan Walker,gl,box,30,Maj-NL,Philadelphia,@,Atlanta,1,1,,,6.2,10,3,3,1,1,1,0,42,26,2,0,0,1,1,0,1,0,28,85,61%,19%,6%,46%,19%,4%,2023-05-26
Matthew Liberatore,gl,box,23,Maj-NL,St. Louis,@,Cleveland,1,,1,,5.0,5,4,4,2,2,0,1,41,20,1,0,0,0,0,0,0,0,23,91,56%,9%,5%,61%,17%,17%,2023-05-26
Mitch Keller,gl,box,27,Maj-NL,Pittsburgh,@,Seattle,1,1,,,6.0,7,6,6,2,8,2,1,40,25,2,0,0,0,0,0,0,0,28,97,61%,13%,11%,35%,29%,0%,2023-05-26
Patrick Corbin,gl,box,33,Maj-NL,Washington,@,Kansas City,1,1,,,6.1,7,6,6,4,6,1,0,37,25,2,0,0,1,0,2,0,0,29,108,61%,18%,11%,58%,16%,16%,2023-05-26
Noah Syndergaard,gl,box,30,Maj-NL,Los Angeles,@,Tampa Bay,1,,1,,6.0,8,6,6,1,3,1,0,34,25,2,0,0,0,1,3,0,0,27,94,64%,15%,9%,35%,26%,4%,2023-05-26
Brandon Pfaadt,gl,box,24,Maj-NL,Arizona,,Boston,1,,1,,3.2,8,5,5,0,4,1,0,29,19,3,0,0,0,0,0,0,0,19,87,61%,21%,7%,40%,40%,7%,2023-05-26
Justin Steele,gl,box,27,Maj-NL,Chicago,,Cincinnati,1,,1,,3.2,10,6,5,0,4,0,0,23,20,2,1,0,0,1,0,0,0,22,70,73%,9%,9%,39%,28%,6%,2023-05-26
Freddy Peralta,gl,box,27,Maj-NL,Milwaukee,,San Francisco,1,,1,,2.1,8,10,4,1,4,2,0,16,17,3,0,0,0,0,0,0,0,18,78,63%,15%,10%,31%,23%,0%,2023-05-26
Luis Castillo,gl,box,30,Maj-AL,Seattle,,Pittsburgh,1,1,,,6.0,1,0,0,2,10,0,1,78,19,1,0,0,0,0,1,0,0,22,99,65%,15%,24%,56%,22%,22%,2023-05-27
Tanner Bibee,gl,box,24,Maj-AL,Cleveland,,St. Louis,1,,,,6.0,2,1,1,1,9,1,0,72,20,0,0,0,0,0,0,0,0,21,98,65%,19%,17%,36%,9%,27%,2023-05-27
Michael Lorenzen,gl,box,31,Maj-AL,Detroit,,Chicago,1,,,,6.2,2,2,0,1,4,0,0,69,22,0,0,0,0,0,0,0,0,23,95,68%,14%,7%,56%,6%,6%,2023-05-27
Luis Severino,gl,box,29,Maj-AL,New York,,San Diego,1,,,,6.2,1,2,1,3,5,1,0,68,22,0,0,0,0,0,0,0,0,25,82,66%,20%,6%,35%,12%,6%,2023-05-27
Andrew Heaney,gl,box,32,Maj-AL,Texas,@,Baltimore,1,1,,,7.0,4,1,1,1,3,1,1,67,22,1,0,0,1,0,1,0,0,24,95,62%,18%,4%,42%,26%,0%,2023-05-27
Framber Valdez,gl,box,29,Maj-AL,Houston,@,Oakland,1,1,,,6.0,4,1,1,3,5,0,0,62,20,3,0,0,0,1,1,0,0,25,95,58%,14%,11%,53%,35%,0%,2023-05-27
Garrett Whitlock,gl,box,27,Maj-AL,Boston,@,Arizona,1,1,,,5.0,3,1,1,0,4,1,0,61,18,1,0,0,0,0,0,0,0,18,92,63%,16%,9%,50%,14%,0%,2023-05-27
Shohei Ohtani,gl,box,28,Maj-AL,Los Angeles,,Miami,1,,,,6.0,6,2,1,3,10,0,0,61,23,0,0,0,2,0,0,0,0,26,109,66%,20%,17%,62%,23%,8%,2023-05-27
Dean Kremer,gl,box,27,Maj-AL,Baltimore,,Texas,1,,1,,6.1,5,3,3,2,5,0,0,54,24,1,0,0,0,0,0,0,0,26,97,65%,15%,8%,32%,32%,0%,2023-05-27
Brady Singer,gl,box,26,Maj-AL,Kansas City,,Washington,1,,,,5.0,4,2,2,3,6,0,1,54,19,3,0,0,0,0,0,0,0,23,90,60%,17%,10%,46%,31%,0%,2023-05-27
Jesse Scholtens,gl,box,29,Maj-AL,Chicago,@,Detroit,1,,,,4.2,4,2,2,2,3,0,0,49,17,1,0,0,0,1,2,0,0,20,68,66%,22%,9%,27%,13%,7%,2023-05-27
Tyler Glasnow,gl,box,29,Maj-AL,Tampa Bay,,Los Angeles,1,,,,4.1,5,3,3,1,8,1,0,48,18,3,0,0,0,0,0,0,0,19,83,66%,20%,18%,30%,30%,0%,2023-05-27
Pablo López,gl,box,27,Maj-AL,Minnesota,,Toronto,1,1,,,5.2,5,4,4,3,6,2,0,46,21,0,1,0,0,0,0,0,0,24,88,61%,16%,14%,20%,27%,13%,2023-05-27
Austin Pruitt,gl,box,33,Maj-AL,Oakland,,Houston,1,,1,,1.0,3,2,2,0,1,1,0,40,7,0,0,0,0,0,0,0,0,7,29,55%,14%,3%,33%,33%,0%,2023-05-27
Chris Bassitt,gl,box,34,Maj-AL,Toronto,@,Minnesota,1,,1,,4.0,9,7,7,2,5,2,1,19,21,2,0,0,0,0,1,0,0,24,93,62%,11%,12%,38%,31%,13%,2023-05-27
Zack Wheeler,gl,box,33,Maj-NL,Philadelphia,@,Atlanta,1,1,,,8.0,3,0,0,1,12,0,1,87,27,2,0,0,0,0,0,0,0,29,106,64%,12%,21%,27%,40%,13%,2023-05-27
Logan Webb,gl,box,26,Maj-NL,San Francisco,@,Milwaukee,1,1,,,7.0,4,1,1,1,11,0,0,75,25,0,1,0,0,0,2,0,0,26,107,68%,21%,17%,57%,21%,14%,2023-05-27
Corbin Burnes,gl,box,28,Maj-NL,Milwaukee,,San Francisco,1,,,,7.0,4,1,1,3,8,0,0,70,24,0,0,0,0,1,0,0,1,28,110,66%,15%,15%,24%,47%,6%,2023-05-27
Michael Wacha,gl,box,31,Maj-NL,San Diego,@,New York,1,,,,7.0,5,2,2,0,4,1,0,63,24,1,0,0,0,0,0,1,0,24,92,75%,18%,13%,45%,20%,15%,2023-05-27
Jack Flaherty,gl,box,27,Maj-NL,St. Louis,@,Cleveland,1,,,,7.0,7,1,1,1,4,0,0,62,28,3,0,0,0,0,0,0,0,29,101,60%,18%,6%,38%,29%,4%,2023-05-27
Chase Anderson,gl,box,35,Maj-NL,Colorado,,New York,1,,,,5.0,4,1,1,1,4,1,1,58,18,1,0,0,0,0,0,0,0,20,86,60%,20%,5%,29%,43%,7%,2023-05-27
Charlie Morton,gl,box,39,Maj-NL,Atlanta,,Philadelphia,1,,1,,5.1,7,2,2,4,9,0,0,51,22,2,0,1,0,1,1,0,0,27,96,64%,16%,21%,43%,43%,0%,2023-05-27
Edward Cabrera,gl,box,25,Maj-NL,Miami,@,Los Angeles,1,,,,5.2,4,3,3,4,5,0,1,50,20,3,0,0,1,0,1,0,0,25,94,59%,17%,12%,60%,7%,7%,2023-05-27
Josiah Gray,gl,box,25,Maj-NL,Washington,@,Kansas City,1,,,,4.0,4,2,2,3,4,1,0,47,16,1,0,0,0,0,1,0,0,19,91,63%,10%,14%,33%,33%,0%,2023-05-27
Zach Davies,gl,box,30,Maj-NL,Arizona,,Boston,1,,1,,3.1,5,2,2,2,3,0,0,43,14,0,0,0,0,0,0,1,0,16,75,55%,23%,5%,64%,9%,0%,2023-05-27
Clayton Kershaw,gl,box,35,Maj-NL,Los Angeles,@,Tampa Bay,1,,,,5.0,6,4,4,2,6,1,0,43,21,1,0,0,0,0,1,0,0,23,83,65%,22%,12%,47%,27%,0%,2023-05-27
Jameson Taillon,gl,box,31,Maj-NL,Chicago,,Cincinnati,1,,,,4.2,6,4,4,1,5,0,0,40,19,2,0,0,0,0,1,0,0,20,80,60%,20%,11%,21%,36%,21%,2023-05-27
Brandon Williamson,gl,box,25,Maj-NL,Cincinnati,@,Chicago,1,,,,4.1,6,4,4,3,3,0,0,35,19,1,1,0,0,0,0,0,0,22,81,64%,10%,14%,19%,25%,13%,2023-05-27
Vince Velasquez,gl,box,31,Maj-NL,Pittsburgh,@,Seattle,1,,1,,2.0,7,4,4,1,3,0,0,28,13,4,0,0,0,0,0,0,0,14,53,64%,17%,11%,20%,40%,0%,2023-05-27
Justin Verlander,gl,box,40,Maj-NL,New York,@,Colorado,1,,,,5.0,9,6,6,1,2,0,0,26,23,4,0,0,0,1,0,0,0,25,79,66%,9%,9%,32%,41%,0%,2023-05-27
Kyle Bradish,gl,box,26,Maj-AL,Baltimore,,Texas,1,,,,6.2,4,1,1,1,4,0,0,65,22,1,0,0,1,0,0,0,0,23,85,66%,14%,8%,28%,56%,0%,2023-05-28
Eduardo Rodriguez,gl,box,30,Maj-AL,Detroit,,Chicago,1,,,,6.0,5,1,1,2,6,1,0,62,22,1,0,0,1,0,0,0,0,24,100,65%,16%,11%,44%,25%,0%,2023-05-28
José Berríos,gl,box,29,Maj-AL,Toronto,@,Minnesota,1,1,,,5.2,4,0,0,5,5,0,0,61,18,0,0,0,1,0,0,0,0,23,94,57%,23%,11%,62%,23%,8%,2023-05-28
Marco Gonzales,gl,box,31,Maj-AL,Seattle,,Pittsburgh,1,,,,5.2,3,1,1,3,4,0,0,60,19,0,0,0,0,1,0,0,0,23,90,63%,19%,8%,25%,38%,6%,2023-05-28
Cristian Javier,gl,box,26,Maj-AL,Houston,@,Oakland,1,1,,,5.0,4,1,1,3,3,1,0,55,17,1,0,0,1,0,2,1,1,20,88,52%,16%,6%,21%,21%,7%,2023-05-28
Bailey Ober,gl,box,27,Maj-AL,Minnesota,,Toronto,1,,1,,5.0,5,2,2,1,7,0,0,55,18,1,0,0,1,0,0,1,0,19,95,64%,13%,16%,36%,9%,0%,2023-05-28
Cody Bradford,gl,box,25,Maj-AL,Texas,@,Baltimore,1,,,,5.0,5,2,2,1,5,0,0,53,18,0,1,0,1,1,0,0,0,20,78,72%,21%,13%,29%,21%,7%,2023-05-28
Daniel Lynch,gl,box,26,Maj-AL,Kansas City,,Washington,1,,,,5.1,5,2,2,3,6,0,0,53,21,2,0,0,0,0,0,0,0,24,95,60%,14%,15%,40%,33%,0%,2023-05-28
Ken Waldichuk,gl,box,25,Maj-AL,Oakland,,Houston,1,,,,1.0,1,1,1,0,2,1,0,49,4,0,0,0,0,0,0,0,0,4,16,69%,25%,19%,50%,0%,0%,2023-05-28
Patrick Sandoval,gl,box,26,Maj-AL,Los Angeles,,Miami,1,,1,,6.0,8,2,2,2,2,1,0,48,24,1,0,1,2,0,0,0,0,26,89,64%,18%,4%,32%,41%,9%,2023-05-28
Gerrit Cole,gl,box,32,Maj-AL,New York,,San Diego,1,1,,,6.0,4,6,5,3,9,2,0,48,21,0,0,0,0,0,1,0,0,24,100,62%,22%,10%,17%,25%,17%,2023-05-28
Hunter Gaddis,gl,box,25,Maj-AL,Cleveland,,St. Louis,1,,,,4.2,5,3,3,2,3,3,1,43,18,1,0,0,1,0,0,0,0,21,76,62%,18%,8%,27%,13%,13%,2023-05-28
Dylan Cease,gl,box,27,Maj-AL,Chicago,@,Detroit,1,,,,4.0,4,4,4,4,8,1,0,42,16,1,0,0,0,0,2,0,0,20,102,63%,17%,9%,38%,25%,0%,2023-05-28
Tanner Houck,gl,box,27,Maj-AL,Boston,@,Arizona,1,,1,,4.0,6,4,4,0,4,2,0,38,18,0,0,0,0,0,0,0,0,18,76,62%,17%,12%,29%,57%,0%,2023-05-28
Josh Fleming,gl,box,27,Maj-AL,Tampa Bay,,Los Angeles,1,,,,6.0,12,10,8,2,3,5,0,13,28,2,0,1,1,2,0,0,0,32,86,65%,13%,10%,44%,15%,0%,2023-05-28
MacKenzie Gore,gl,box,24,Maj-NL,Washington,@,Kansas City,1,,,,7.0,3,1,1,1,11,1,0,77,24,1,0,0,0,0,0,0,0,25,106,71%,13%,22%,54%,23%,0%,2023-05-28
Merrill Kelly,gl,box,34,Maj-NL,Arizona,,Boston,1,1,,,6.1,4,1,1,2,10,0,0,69,23,1,0,0,0,0,0,0,0,25,108,59%,22%,9%,38%,38%,8%,2023-05-28
Spencer Strider,gl,box,24,Maj-NL,Atlanta,,Philadelphia,1,1,,,6.0,2,2,2,1,9,1,0,68,20,1,0,0,0,0,0,0,0,21,102,66%,14%,22%,9%,0%,0%,2023-05-28
Eury Pérez,gl,box,20,Maj-NL,Miami,@,Los Angeles,1,1,,,5.0,2,0,0,4,3,0,0,62,16,0,1,0,1,0,0,0,0,20,79,57%,14%,11%,15%,23%,8%,2023-05-28
Colin Rea,gl,box,32,Maj-NL,Milwaukee,,San Francisco,1,1,,,6.0,5,4,4,0,6,2,1,52,22,0,0,0,0,0,0,0,0,24,90,69%,20%,12%,47%,18%,12%,2023-05-28
Graham Ashcraft,gl,box,25,Maj-NL,Cincinnati,@,Chicago,1,1,,,5.0,5,3,3,3,6,1,0,48,19,0,0,0,1,0,0,0,0,22,92,59%,15%,10%,31%,38%,8%,2023-05-28
Luis Ortiz,gl,box,24,Maj-NL,Pittsburgh,@,Seattle,1,,,,5.0,5,3,3,4,6,2,0,47,20,1,0,0,0,0,0,0,0,24,99,61%,16%,13%,36%,21%,0%,2023-05-28
Jordan Montgomery,gl,box,30,Maj-NL,St. Louis,@,Cleveland,1,,,,5.0,7,2,2,1,3,0,0,47,21,2,0,0,1,0,0,0,0,22,91,66%,18%,7%,39%,39%,0%,2023-05-28
Drew Smyly,gl,box,34,Maj-NL,Chicago,,Cincinnati,1,,1,,4.2,7,5,5,2,2,0,0,30,20,3,0,0,1,0,2,0,1,22,92,61%,21%,7%,39%,28%,17%,2023-05-28
Tylor Megill,gl,box,27,Maj-NL,New York,@,Colorado,1,,,,4.0,10,6,4,2,3,0,0,23,22,2,0,0,0,0,0,0,1,24,81,62%,16%,6%,26%,37%,5%,2023-05-28
Austin Gomber,gl,box,29,Maj-NL,Colorado,,New York,1,,,,4.0,8,6,6,3,3,1,0,22,18,2,0,0,2,0,2,0,0,21,69,59%,20%,3%,53%,33%,0%,2023-05-28
Alex Cobb,gl,box,35,Maj-NL,San Francisco,@,Milwaukee,1,,1,,4.0,7,7,7,4,5,1,1,21,19,1,0,0,0,0,2,0,0,24,95,60%,18%,9%,50%,36%,0%,2023-05-28
Yu Darvish,gl,box,36,Maj-NL,San Diego,@,New York,1,,1,,2.2,7,7,7,0,2,1,0,18,15,2,0,0,0,0,1,0,0,15,63,67%,19%,10%,38%,31%,0%,2023-05-28
Dylan Covey,gl,box,31,Maj-NL,Philadelphia,@,Atlanta,1,,1,,0.2,6,7,5,0,0,2,0,16,9,1,0,0,0,0,0,0,0,9,30,67%,13%,0%,67%,0%,0%,2023-05-28
Gavin Stone,gl,box,24,Maj-NL,Los Angeles,@,Tampa Bay,1,,,,2.0,10,7,7,0,3,0,0,11,16,2,1,0,0,0,0,0,0,16,57,79%,9%,23%,38%,54%,8%,2023-05-28
Logan Allen,gl,box,24,Maj-AL,Cleveland,@,Baltimore,1,1,,,7.0,3,0,0,2,10,0,0,79,24,1,0,0,0,0,0,1,0,26,103,66%,21%,18%,43%,21%,21%,2023-05-29
