Name,Team,GS,IP,TBF,K%,PlayerId,MLBAMID
"John Brebbia","SFG",19,96.2,404,0.22277228,12777,605154
"Sandy Alcantara","MIA",56,387,1536,0.22265625,18684,645261
"Michael Rucker","CHC",0,94,400,0.2225,19454,621074
"Sam Coonrod","- - -",0,13.2,63,0.22222222,17264,656322
"Declan Cronin","CHW",0,6,27,0.22222222,25645,686539
"David Price","LAD",0,40.1,167,0.22155689,3184,456034
"Cody Bradford","TEX",6,40,167,0.22155689,27597,674003
"Luis Medina","OAK",13,83,375,0.22133333,21649,665622
"Victor González","LAD",1,24.2,104,0.22115385,16408,624647
"Brady Singer","KCR",48,289,1203,0.22111388,25377,663903
"Andrew Vasquez","- - -",0,51,222,0.22072072,19482,607755
"Chad Smith","- - -",0,31.2,145,0.22068966,20190,663385
"Michael Kelly","- - -",0,16.2,68,0.22058824,12791,547184
"Freddy Tarnok","- - -",1,15.1,68,0.22058824,23324,676206
"Eduardo Rodriguez","DET",35,197.1,821,0.22046285,13164,593958
"Vince Velasquez","- - -",17,112.2,481,0.22037422,11189,592826
"Dennis Santana","- - -",1,67.1,295,0.22033898,17878,642701
"Miguel Castro","- - -",0,78,327,0.22018349,15684,612434
"Tyler Holton","- - -",1,68.2,268,0.22014925,26231,663947
"Jack Flaherty","- - -",31,159.2,718,0.22005571,17479,656427
"Daniel Palencia","CHC",0,12,50,0.22,27914,694037
"Jackson Kowar","KCR",0,27.1,141,0.21985816,21549,663804
"Josiah Gray","WSN",52,278.1,1219,0.21985234,24580,680686
"Nabil Crismatt","SDP",1,78.1,337,0.21958457,17732,622503
"Collin Wiles","OAK",0,9.2,41,0.2195122,15106,621079
"Nick Vespi","BAL",0,39,164,0.2195122,21093,663989
"Patrick Sandoval","LAA",48,261,1135,0.21938326,19447,663776
"Tom Cosgrove","SDP",0,34.1,137,0.2189781,23443,676680
"Jordan Montgomery","- - -",56,317.1,1307,0.21882173,16511,656756
"Ben Heller","ATL",0,14.1,64,0.21875,15100,621294
"Nicholas Padilla","- - -",0,6.1,32,0.21875,21327,656820
"Tony Gonsolin","LAD",43,230,911,0.21844127,19388,664062
"Ken Waldichuk","OAK",23,134,610,0.21803279,27681,686610
"Anthony Bender","MIA",0,19.1,78,0.21794872,19742,669622
"Michael Grove","LAD",18,93.1,418,0.21770335,23221,675627
"Matt Foster","CHW",0,45,193,0.21761658,19647,641582
"Stephen Strasburg","WSN",1,4.2,23,0.2173913,10131,544931
"Chris Devenski","- - -",0,48.1,207,0.2173913,12763,606965
"Alex Wood","SFG",37,202,872,0.21674312,13781,622072
"Jimmy Herget","LAA",1,85,337,0.21661721,17556,623474
"Huascar Ynoa","ATL",2,6.2,37,0.21621622,20468,660623
"Louie Varland","MIN",15,82,347,0.21613833,27691,686973
"Stephen Nogosek","NYM",0,47.2,213,0.21596244,19545,668665
"Bowden Francis","TOR",0,23.1,88,0.21590909,20548,670102
"Elieser Hernández","MIA",10,62.1,278,0.21582734,16933,622694
"Cristopher Sánchez","PHI",14,98.1,408,0.21568627,20778,650911
"Alek Manoah","TOR",50,284,1201,0.21565362,26410,666201
"Jonathan Hernández","TEX",0,52,232,0.21551724,17464,642546
"Jharel Cotton","- - -",0,43,181,0.21546961,13654,605194
"Trevor May","- - -",0,57,260,0.21538462,6398,543507
"Keegan Thompson","CHC",17,136.1,576,0.21527778,19795,624522
"Caleb Smith","ARI",1,70,302,0.21523179,14875,592761
"Tanner Banks","CHW",3,92,381,0.2152231,16990,621383
"Chris Paddack","MIN",5,22.1,93,0.21505376,20099,663978
"Brad Hand","- - -",0,85.2,377,0.21485411,9111,543272
"Jake Faria","BOS",0,2,14,0.21428571,13699,607188
"Jesus Tinoco","TEX",2,20.2,84,0.21428571,16300,622786
"Ryan Borucki","- - -",1,46.2,196,0.21428571,16350,621366
"Miguel Díaz","DET",0,3.2,14,0.21428571,18815,622766
"J.B. Bukauskas","- - -",0,3,14,0.21428571,20491,656266
"Kolton Ingram","LAA",0,2.1,14,0.21428571,26068,688427
"Nick Martinez","SDP",16,191.1,803,0.21419676,12730,607259
"Tayler Saucedo","- - -",0,40.2,173,0.21387283,17888,642048
"Drew Carlton","- - -",0,29.1,117,0.21367521,19868,656290
"Taylor Hearn","- - -",13,110.1,501,0.21357285,18325,621368
"Jorge López","- - -",0,114,487,0.21355236,14527,605347
"Aaron Civale","- - -",35,183.1,759,0.21343874,19479,650644
"Tyler Wells","BAL",43,217.1,877,0.21322691,20000,669330
"Janson Junk","- - -",3,13,61,0.21311475,23301,676083
"Hayden Wesneski","CHC",15,102.2,427,0.21311475,27581,669713
"J.C. Mejía","MIL",0,13.2,66,0.21212121,20617,650496
"José Suarez","LAA",26,133.1,585,0.21196581,19911,660761
"Anthony Banda","- - -",1,33.2,170,0.21176471,14706,607455
"Walker Buehler","LAD",12,65,274,0.21167883,19374,621111
"Kaleb Ort","BOS",2,51.1,241,0.21161826,20061,672391
"Corey Knebel","PHI",0,44.2,194,0.21134021,15010,608349
"Hunter Strickland","CIN",0,62.1,284,0.21126761,7836,519326
"Tyler Duffey","MIN",0,44,185,0.21081081,13758,608648
"Phoenix Sanders","TBR",0,14.2,57,0.21052632,20541,676637
"Max Kranick","PIT",0,5,19,0.21052632,22175,668820
"Owen White","TEX",0,4,19,0.21052632,22273,669391
"Joe La Sorsa","- - -",0,20.2,95,0.21052632,25481,686747
"Brandon Williamson","CIN",16,81,333,0.21021021,25463,682227
"José Berríos","TOR",56,312.1,1337,0.21017203,14168,621244
"Tommy Hunter","NYM",0,46,200,0.21,1157,488984
"Dany Jiménez","OAK",0,42,181,0.20994475,21170,666204
"Drew VerHagen","STL",0,69.2,324,0.20987654,13424,572403
"Johan Oviedo","- - -",32,192.1,834,0.20983213,22487,670912
"Wandy Peralta","NYY",0,101.2,415,0.20963855,14295,593974
"Darwinzon Hernández","BOS",0,6.2,43,0.20930233,19848,650382
"Carlos Hernández","KCR",11,113.2,502,0.20916335,22713,672578
"Sean Newcomb","- - -",1,27.2,134,0.20895522,16943,656794
"Justin Topa","- - -",0,54.2,230,0.20869565,15145,623437
"Cole Ragans","- - -",13,87,374,0.20855615,21846,666142
"Ben Lively","CIN",12,71,307,0.20846906,14932,594902
"Génesis Cabrera","- - -",0,88,379,0.20844327,17490,650893
"JP Sears","- - -",35,200.2,835,0.20838323,23429,676664
"Michael Tonkin","ATL",0,60.2,240,0.20833333,10315,543859
"Calvin Faucher","TBR",4,47,221,0.2081448,20116,676534
"Carlos Carrasco","NYM",47,236.1,1029,0.2079689,6632,471911
"Marcus Stroman","CHC",48,267.1,1106,0.2079566,13431,573186
"Corbin Martin","ARI",2,22.1,101,0.20792079,19884,656686
"Carmen Mlodzinski","PIT",1,23.2,101,0.20792079,27572,669387
"Domingo Acevedo","OAK",0,77,313,0.20766773,17092,642758
"Cionel Pérez","BAL",0,98.1,424,0.20754717,19614,672335
"Jarlín García","SFG",0,65,270,0.20740741,18282,606424
"Michael Wacha","- - -",39,218,878,0.20728929,14078,608379
"Drew Smyly","CHC",43,225,966,0.20703934,11760,592767
"Trent Thornton","- - -",0,57.2,237,0.20675105,17948,663423
"Austin Cox","KCR",3,30,121,0.20661157,24604,680735
"Austin Voth","- - -",17,132.2,586,0.20648464,15047,608723
"Zack Littell","- - -",7,91.2,388,0.20618557,15823,641793
"Adrián Martínez","OAK",12,89,393,0.20610687,21023,661309
"John Means","BAL",2,8,34,0.20588235,16269,607644
"Grant Anderson","TEX",0,32.1,136,0.20588235,20546,681982
"Tayler Scott","- - -",2,28,141,0.20567376,13652,605463
"Dillon Tate","BAL",0,73.2,292,0.20547945,17796,622253
"Yunior Marte","- - -",0,83,375,0.20533333,14416,628708
"Jameson Taillon","- - -",53,281.1,1179,0.20525869,11674,592791
"Steven Brault","CHC",0,9,39,0.20512821,15291,643230
"Ian Kennedy","- - -",0,60.1,278,0.20503597,6986,453178
"Brandon Pfaadt","ARI",11,54.2,244,0.20491803,27782,694297
"Cory Abbott","WSN",9,74.2,337,0.20474777,20277,676265
"Brusdar Graterol","LAD",2,100.2,396,0.20454545,20367,660813
"Cooper Criswell","TBR",1,31.1,137,0.20437956,24975,681867
"Silvino Bracho","- - -",0,11.2,49,0.20408163,15051,611093
"Yerry De Los Santos","PIT",0,50,216,0.2037037,21420,660787
"Kodi Whitley","STL",0,12.2,59,0.20338983,19731,676831
"Alex Young","- - -",1,72.1,315,0.2031746,18333,622065
"Wil Crowe","PIT",1,85.2,379,0.20316623,19800,640444
"Wyatt Mills","- - -",0,29.1,128,0.203125,20010,670090
"Paul Blackburn","OAK",33,177,764,0.20287958,14739,621112
"Rich Hill","- - -",50,249.2,1091,0.20256645,4806,448179
"Anthony Misiewicz","- - -",0,37.1,163,0.20245399,18152,664948
"Bryan Garcia","DET",4,20.1,84,0.20238095,19457,650530
"Brayan Bello","BOS",31,170.2,747,0.2021419,23920,678394
"Ranger Suárez","PHI",46,252.2,1080,0.20185185,17277,624133
"Mike Baumann","BAL",4,93.2,397,0.20151134,20206,657508
"Ross Stripling","- - -",35,206.2,839,0.20143027,13273,548389
"Carl Edwards Jr.","WSN",0,93.2,398,0.20100503,13607,605218
"Joel Kuhnel","- - -",0,63.1,284,0.20070423,19995,669270
"Ryan Tepera","- - -",0,68,289,0.20069204,10291,572193
"Dustin May","LAD",15,78,314,0.20063694,19716,669160
"Joey Wentz","DET",23,112,504,0.20039683,19962,666214
"Jonathan Schoop","DET",0,1.1,5,0.2,11265,570731
"JT Chargois","- - -",3,51.2,205,0.2,13767,608638
"Jackson Stephens","ATL",1,53.2,235,0.2,14420,623451
"Michael Lorenzen","- - -",38,220.1,890,0.2,14843,547179
"Luke Farrell","- - -",2,15,70,0.2,15101,608652
"Bubby Rossman","PHI",0,1,5,0.2,17179,657745
"Josh Lester","BAL",0,1,5,0.2,17737,623507
"Conner Menez","CHC",0,1,5,0.2,19199,669214
"Thomas Hatch","- - -",1,16.1,80,0.2,19264,641672
"Alex Faedo","DET",21,99,425,0.2,19874,656412
"Riley O'Brien","SEA",0,1,5,0.2,20348,676617
"Tylor Megill","NYM",26,128.2,575,0.2,21318,656731
"Angel Rondón","STL",0,5,20,0.2,22036,667373
"José Lopez","TBR",0,2,10,0.2,22982,673111
"Nate Eaton","KCR",0,1,5,0.2,25055,681987
"Lane Ramsey","CHW",0,5.1,20,0.2,25071,682010
"Kevin Kelly","TBR",0,54.1,225,0.2,25679,687330
"Colin Rea","MIL",19,100.1,426,0.19953052,12317,607067
"Jake Bird","COL",3,118,512,0.19921875,21267,656234
"Brent Honeywell","- - -",0,48.1,211,0.19905213,16466,641703
"Cole Sands","MIN",3,44.2,211,0.19905213,21461,663485
"Matt Wisler","TBR",5,44,176,0.19886364,12804,605538
"Taijuan Walker","- - -",53,289,1198,0.19866444,11836,592836
"Kyle Gibson","- - -",56,313,1334,0.19865067,10123,502043
"Roansy Contreras","PIT",29,163.1,710,0.19859155,22810,672710
"Ryan Thompson","TBR",0,60.1,257,0.19844358,16647,657044
"Peter Lambert","COL",6,59.1,257,0.19844358,17969,663567
"Duane Underwood Jr.","PIT",1,81.2,359,0.19777159,14677,621249
"Luke Weaver","- - -",22,132.2,622,0.1977492,16918,596133
"Craig Stammen","SDP",1,40.2,177,0.19774011,7274,489334
"John Curtiss","NYM",0,19.2,81,0.19753086,16128,595928
"Jose Alvarez","SFG",0,15.1,76,0.19736842,5358,501625
"Ryan Feltner","COL",27,132.2,593,0.19730185,21446,663372
"José Urquidy","HOU",36,200.1,838,0.19689737,18413,664353
"Dane Dunning","TEX",47,281,1189,0.19680404,19409,641540
"Ian Anderson","ATL",22,111.2,493,0.19675456,19951,666120
"Casey Legumina","CIN",0,11.2,56,0.19642857,25921,668984
"Matt Barnes","- - -",1,61,275,0.19636364,12863,598264
"Aaron Loup","LAA",0,95.1,433,0.19630485,10343,571901
"Yoan López","NYM",0,11,51,0.19607843,17181,661255
"Elvin Rodriguez","- - -",5,33,153,0.19607843,20962,660730
"Osvaldo Bido","PIT",8,41,189,0.1957672,23150,674370
"José Quintana","- - -",37,195.1,802,0.1957606,11423,500779
"Tyler Matzek","ATL",0,43.2,184,0.19565217,10058,554431
"AJ Smith-Shawver","ATL",4,21.2,92,0.19565217,29960,700363
"Konnor Pilkington","CLE",11,60,266,0.19548872,21453,663455
"Zach Neal","OAK",0,8.2,41,0.19512195,11294,594943
"Garrett Richards","TEX",2,42.2,185,0.19459459,9784,572070
"Adrian Morejon","SDP",1,43,185,0.19459459,20039,670970
"Germán Márquez","COL",35,201.2,859,0.19441211,15038,608566
"Brent Suter","- - -",0,122.1,495,0.19393939,13942,608718
"Trevor Williams","- - -",33,207.1,899,0.19354839,16977,592866
"Daniel Duarte","CIN",0,21.1,93,0.19354839,17480,650960
"Hogan Harris","OAK",6,59.1,264,0.19318182,21520,663687
"Dean Kremer","BAL",45,257.1,1072,0.19309701,19350,665152
"Tony Santillan","CIN",0,23,114,0.19298246,19926,663574
"Kervin Castro","- - -",0,12.1,57,0.19298246,21656,665645
"Bryan Shaw","- - -",2,75,332,0.19277108,8110,543766
"Elvis Peguero","- - -",0,65.2,275,0.19272727,21652,665625
"Jason Foley","DET",0,112,462,0.19264069,19531,671345
"Tyler Anderson","- - -",48,287.2,1195,0.19246862,12880,542881
"Kris Bubic","KCR",30,145,655,0.19236641,21455,663460
"Damon Jones","PHI",0,4.2,26,0.19230769,23310,676103
"Chris Archer","MIN",25,102.2,437,0.19221968,6345,502042
"Bailey Falter","- - -",26,137.2,583,0.19210978,20070,663559
"Beau Sulser","- - -",0,22.1,99,0.19191919,23420,676641
"Norge Ruiz","OAK",0,19,94,0.19148936,19580,650204
"Corey Kluber","- - -",40,219,946,0.19133192,2429,446372
"Thaddeus Ward","WSN",0,30.1,136,0.19117647,21513,663658
"Wily Peralta","DET",1,38.1,168,0.19047619,7738,503449
"Edwin Uceta","- - -",0,20,84,0.19047619,20539,670955
"Derek Law","- - -",2,58.2,258,0.18992248,13133,571882
"Tristan Beck","SFG",0,62.1,258,0.18992248,21584,663941
"Jake Odorizzi","- - -",22,106.1,453,0.18984547,6397,543606
"Ty Adcock","SEA",0,15.2,58,0.18965517,25651,686654
"Joan Adon","WSN",16,78.2,364,0.18956044,22925,672851
"Daniel Lynch IV","KCR",36,184,823,0.18955043,21537,663738
"Mike Clevinger","- - -",37,193,819,0.18925519,12808,605182
"Hansel Robles","BOS",0,24.2,111,0.18918919,11801,570663
"Trevor Kelley","- - -",3,37,164,0.18902439,18454,665001
"Joey Krehbiel","BAL",0,59.1,249,0.18875502,13707,607216
"Brett Martin","TEX",1,50,212,0.18867925,17369,656685
"Louis Head","- - -",0,28.2,138,0.1884058,13259,545343
"Yohan Ramirez","- - -",0,67,303,0.18811881,19444,670990
"Archie Bradley","- - -",0,26,117,0.18803419,12918,605151
"Cody Sedlock","BAL",0,3,16,0.1875,19357,642060
"Max Castillo","- - -",6,58,251,0.187251,21956,666721
"Anthony DeSclafani","SFG",23,118.2,513,0.1871345,13050,543101
"Chase De Jong","PIT",0,83,353,0.18696884,15036,608328
"Justin Garza","BOS",1,18.1,91,0.18681319,19784,621057
"Andrew Kittredge","TBR",0,20,75,0.18666667,12828,552640
"Jeurys Familia","- - -",0,57,268,0.18656716,5114,544727
"Emmet Sheehan","LAD",7,38.1,161,0.1863354,29839,686218
"Luis F. Ortiz","- - -",0,24.2,102,0.18627451,16942,656814
"Jake Irvin","WSN",18,90.2,398,0.18592965,21504,663623
"Brandon Bielak","HOU",13,87,382,0.18586387,19866,656232
"Austin Brice","PIT",0,6.2,27,0.18518519,17237,592169
"Glenn Otto","TEX",27,144,627,0.18500797,21366,657248
"Tyler Danish","BOS",0,40.1,173,0.1849711,15126,641501
"Peyton Battenfield","CLE",6,34.2,146,0.18493151,25777,685410
"Bryce Elder","ATL",33,192,796,0.18467337,27779,693821
"Anthony Castro","CLE",0,13.1,65,0.18461538,19789,621593
"Paolo Espino","WSN",19,117.1,515,0.18446602,8246,502179
"Andrés Machado","WSN",0,86.2,380,0.18421053,14681,600921
"Cody Poteet","MIA",2,28,114,0.18421053,18769,547001
"Jorge Alcala","MIN",0,17.2,76,0.18421053,19459,660896
"Reiver Sanmartin","CIN",4,71,326,0.18404908,19754,665665
"Dusten Knight","TBR",0,11,49,0.18367347,16537,643400
"Martín Pérez","TEX",52,307.2,1309,0.18334607,6902,527048
"Sean Poppen","ARI",0,28.2,120,0.18333333,19583,664092
"Zach Pop","- - -",0,52.2,213,0.18309859,20185,647315
"Joey Lucchesi","NYM",5,22.1,93,0.1827957,19320,664192
"Zack Kelly","BOS",0,21,93,0.1827957,20349,677161
"Tyler Gilbert","ARI",7,51,214,0.18224299,17964,656457
"Cole Irvin","- - -",39,234,978,0.18200409,19244,608344
"Mitch White","- - -",18,111.2,500,0.182,19225,669952
"Roenis Elías","SEA",0,7.2,33,0.18181818,12673,606273
"Sean Reid-Foley","NYM",0,10,44,0.18181818,17034,656887
"Jordan Holloway","MIA",0,2.2,11,0.18181818,20631,656548
"Aneurys Zabala","MIA",0,2.2,11,0.18181818,20802,656008
"Clayton Andrews","MIL",0,1.2,11,0.18181818,23631,677076
"Simeon Woods Richardson","MIN",1,9.2,44,0.18181818,24494,680573
"Sam Bachman","LAA",0,17,77,0.18181818,29754,696147
"Mason Thompson","WSN",0,72,303,0.18151815,21850,666168
"Mike Mayers","- - -",5,77,342,0.18128655,15451,594577
"Javier Assad","CHC",11,98.1,414,0.18115942,21741,665871
"Hirokazu Sawamura","BOS",0,50.2,221,0.18099548,27515,617228
"James Kaprielian","OAK",37,195,857,0.18086348,18331,621076
"Chase Anderson","- - -",19,84.2,371,0.18059299,6895,502624
"Phillips Valdez","BOS",0,16.1,72,0.18055556,15605,570488
"Adam Cimber","TOR",0,91.1,388,0.18041237,15288,643256
"Jhony Brito","NYY",12,62.1,261,0.18007663,25386,666745
"Ronny Henriquez","MIN",0,11.2,50,0.18,24094,678692
"Ryan Burr","CHW",0,9,39,0.17948718,17536,621114
"Joe Barlow","TEX",0,44.2,190,0.17894737,22296,669618
"Josh Winder","MIN",11,85.1,369,0.17886179,24606,680739
"Miles Mikolas","STL",58,350,1432,0.17877095,9803,571945
"Zach Davies","ARI",39,191.2,829,0.17852835,13183,605200
"Davis Martin","CHW",9,63.1,269,0.17843866,21448,663436
"Sam Long","- - -",7,85,366,0.17759563,25379,669674
"Sergio Romo","- - -",0,18,79,0.17721519,9817,489265
"Jaime Barria","LAA",7,148,604,0.17715232,18356,642545
"Victor Mederos","LAA",0,3,17,0.17647059,31533,682989
"Jordan Lyles","- - -",55,310.1,1333,0.17629407,7593,543475
"Jacob Lemoine","OAK",0,16.1,74,0.17567568,19785,621082
"Michael Soroka","ATL",5,29.1,131,0.17557252,18383,647336
"Chad Kuhl","- - -",32,175.1,804,0.17537313,14975,641771
"Logan Allen","- - -",0,7.2,40,0.175,18555,663531
"Matt Koch","- - -",0,27.1,103,0.17475728,13420,571863
"Noah Davis","COL",4,19.2,103,0.17475728,25862,663562
"Jesse Scholtens","CHW",5,56.1,229,0.17467249,19205,669947
"J.P. France","HOU",16,102,419,0.17422434,21212,641585
"Tommy Doyle","COL",0,11.1,46,0.17391304,21281,656382
"Frank German","BOS",0,4,23,0.17391304,24750,681464
"Nick Ramirez","NYY",0,33.2,144,0.17361111,12575,598286
"Julio Teheran","MIL",11,62.2,254,0.17322835,6797,527054
"Garrett Crochet","CHW",0,10,52,0.17307692,27463,676979
"Matt Manning","DET",23,121.2,509,0.17288802,20369,666159
"Tyler Alexander","DET",18,145,608,0.17269737,17735,641302
"Spencer Howard","TEX",8,41,197,0.17258883,23252,675921
"Jonathan Loáisiga","NYY",0,54.2,226,0.17256637,19753,642528
"Ryan Sherriff","BOS",0,6.2,29,0.17241379,12249,595411
"Sam Clay","- - -",0,5.1,29,0.17241379,16279,621348
"Francisco Pérez","- - -",0,10.2,58,0.17241379,21018,660906
"J.B. Wendelken","ARI",0,29,122,0.17213115,14506,605525
"Wade Miley","- - -",23,114.2,471,0.17197452,8779,489119
"Dylan Covey","- - -",1,29,128,0.171875,14825,592229
"Anthony Kay","- - -",0,13.1,64,0.171875,20387,641743
"Kyle Hendricks","CHC",32,176.2,739,0.17185386,12049,543294
"Josh Winckowski","BOS",14,134.1,588,0.17176871,22387,670174
"Grant Hartwig","NYM",0,23.2,105,0.17142857,29946,701643
"Heath Hembree","- - -",0,23.1,111,0.17117117,11632,592390
"Taylor Widener","ARI",0,17.1,82,0.17073171,19266,642203
"Tommy Henry","ARI",25,136,586,0.17064846,26285,674072
"Adrian Sampson","CHC",19,104.1,428,0.17056075,13339,592716
"Tyler Rogers","SFG",0,133,552,0.17028986,15541,643511
"Ashton Goudeau","COL",0,20.1,94,0.17021277,15139,623485
"Kirby Snead","OAK",0,50,235,0.17021277,19179,669912
"Zach Logue","- - -",10,68,306,0.16993464,20231,656657
"Luis Frías","ARI",0,34,171,0.16959064,21997,666818
"Zach Plesac","CLE",29,153,673,0.16939079,19979,668676
"Erich Uelmen","- - -",0,28,130,0.16923077,20323,657272
"Bryse Wilson","- - -",20,173,745,0.16912752,19990,669060
"Jhoulys Chacín","COL",0,47.1,219,0.16894977,2608,468504
"Denyi Reyes","- - -",3,19.2,89,0.16853933,20526,660593
"Connor Seabold","- - -",18,100.2,483,0.16770186,19695,657756
"Adrian Houser","MIL",36,186,820,0.16707317,12718,605288
"Mike Minor","CIN",19,98,455,0.16703297,10021,501985
"Jake Reed","- - -",0,17.1,84,0.16666667,16209,596082
"Lane Thomas","WSN",0,1,6,0.16666667,16939,657041
"Junior Fernández","- - -",0,18.2,84,0.16666667,18496,658551
"Jhonathan Diaz","LAA",3,15.1,66,0.16666667,20298,646242
"Braden Bristo","- - -",0,7,30,0.16666667,20494,668754
"Jordan Balazovic","MIN",0,22.1,96,0.16666667,21866,666364
"Robert Garcia","- - -",0,8.2,30,0.16666667,23363,676395
"Patrick Corbin","WSN",55,290,1321,0.1657835,9323,571578
"Zach Thompson","PIT",22,121.2,543,0.16574586,16094,605507
"Spencer Turnbull","DET",7,31,145,0.16551724,16207,605513
"Humberto Castellanos","ARI",9,44.1,194,0.16494845,21183,528748
"Austin Gomber","COL",41,249.2,1069,0.16463985,16561,596295
"Ryan Yarbrough","- - -",16,141.1,602,0.16445183,16502,642232
"Aníbal Sánchez","WSN",14,69.1,292,0.16438356,3284,434671
"Quinn Priester","PIT",6,28.2,140,0.16428571,25977,682990
"Andre Pallante","STL",10,155,664,0.16415663,26108,669467
"Erick Fedde","WSN",27,127,573,0.16404887,17425,607200
"Johnny Cueto","- - -",30,190.2,781,0.16389245,6893,456501
"Tucker Davidson","- - -",11,87.1,409,0.16381418,19871,656353
"Levi Stoudt","CIN",2,10.1,55,0.16363636,25650,686651
"Bruce Zimmermann","BAL",13,85,373,0.16353887,20370,669145
"Kirk McCarty","CLE",2,37.2,159,0.16352201,20555,668948
"José Butto","NYM",3,18.2,92,0.16304348,23313,676130
"Aaron Brooks","STL",0,9.1,43,0.1627907,12272,605156
"Daulton Jefferies","OAK",8,39.1,172,0.1627907,19345,641726
"Evan Lee","WSN",1,8.2,43,0.1627907,24988,681885
"Brad Keller","KCR",31,183,818,0.16259169,15734,641745
"Mason Englert","DET",1,56,253,0.16205534,22288,669438
"Bryan Hoeing","MIA",7,58,253,0.16205534,26304,663773
"Vladimir Gutierrez","CIN",8,36.2,179,0.16201117,19278,661269
"Rob Zastryzny","- - -",0,21,99,0.16161616,15094,642239
"Luis L. Ortiz","PIT",14,69.2,316,0.16139241,27646,682847
"Garrett Hill","DET",8,74,335,0.16119403,25097,682051
"Austin Pruitt","OAK",7,101.2,410,0.16097561,15290,643493
"Tyler Thornburg","- - -",0,19,87,0.16091954,10688,592804
"Beau Brieske","DET",16,96,398,0.16080402,26079,689225
"Ryne Nelson","ARI",27,143.1,610,0.16065574,26253,669194
"Adam Wainwright","STL",47,258.1,1134,0.16049383,2233,425794
"Justin Bruihl","- - -",0,49.1,212,0.16037736,23779,677865
"Travis Lakins Sr.","BAL",0,10.1,50,0.16,18600,664042
"Kenny Rosenberg","LAA",1,15.2,75,0.16,20009,670046
"Justin Martinez","ARI",0,3.1,25,0.16,24453,679885
"Noah Syndergaard","- - -",39,207,883,0.1596829,11762,592789
"Kyle Freeland","COL",54,298.2,1306,0.15926493,16256,607536
"Tommy Romero","- - -",2,8.1,44,0.15909091,23465,676720
"Chris Flexen","- - -",30,199.1,881,0.15891033,13896,623167
"Graham Ashcraft","CIN",42,232,1014,0.15877712,27552,668933
"Cody Bolton","PIT",0,11,63,0.15873016,23265,675989
"Dylan Bundy","MIN",29,140,595,0.15798319,12917,605164
"Luke Barker","MIL",0,4,19,0.15789474,19609,673316
"A.J. Alexy","TEX",0,7,38,0.15789474,22343,669935
"Domingo Tapia","- - -",0,34.2,165,0.15757576,12178,593619
"Dillon Peters","PIT",4,39.1,165,0.15757576,18790,596071
"Joe Jacques","BOS",1,20,89,0.15730337,25178,682175
"Caleb Kilian","CHC",4,16.2,89,0.15730337,26213,668873
"Matthew Liberatore","STL",17,80.1,369,0.15718157,22294,669461
"Amos Willingham","WSN",0,14,70,0.15714286,26128,686294
"Kyle Muller","- - -",14,64.1,312,0.15705128,20167,666205
"Garrett Acton","OAK",0,5.2,32,0.15625,27583,670183
"Erasmo Ramírez","- - -",3,125.2,527,0.15559772,10314,541640
"Ryan Weathers","- - -",11,52,238,0.15546218,23796,677960
"Miguel Sánchez","MIL",0,13.1,58,0.15517241,20074,667376
"Justin Grimm","OAK",0,15.1,71,0.15492958,11720,518748
"Madison Bumgarner","ARI",34,175.1,788,0.15482234,5524,518516
"Aaron Sanchez","- - -",10,60,265,0.15471698,11490,592717
"Adonis Medina","NYM",0,23.2,110,0.15454545,19903,658431
"Cal Quantrill","CLE",45,253.1,1077,0.15413185,19312,615698
"Shane Greene","- - -",0,3,13,0.15384615,10756,572888
"Michael A. Taylor","KCR",0,2,13,0.15384615,11489,572191
"R.J. Alvarez","NYM",0,2.1,13,0.15384615,13401,571439
"Connor Sadzeck","MIL",0,3,13,0.15384615,13483,592712
"Vinny Nittoli","- - -",0,3.2,13,0.15384615,16754,657697
"Jesus Cruz","ATL",0,8.2,39,0.15384615,20042,672911
"Eduard Bazardo","- - -",0,18.2,78,0.15384615,20997,660825
"Reiss Knehr","SDP",2,19.1,91,0.15384615,21541,663753
"Keaton Winn","SFG",2,22,91,0.15384615,23499,676775
"Jake McGee","- - -",0,37,163,0.15337423,7550,459429
"Justin Dunn","CIN",7,31,138,0.15217391,19268,643290
"Chi Chi González","- - -",5,25.2,112,0.15178571,14663,592346
"Alan Busenitz","CIN",0,4,20,0.15,15239,641427
"Nick Neidert","MIA",1,5,20,0.15,18699,663734
"Logan Gillaspie","BAL",0,26.1,120,0.15,22461,670810
"Randy Vásquez","NYY",3,19,80,0.15,24719,681190
"Cole Waites","SFG",0,8,40,0.15,25665,686972
"Jonathan Heasley","KCR",21,119,528,0.14962121,22224,669169
"Luis Cessa","CIN",16,106.2,468,0.14957265,13345,570666
"Scott Alexander","SFG",10,53.2,214,0.14953271,10591,518397
"Hunter Gaddis","CLE",8,38.2,174,0.14942529,25636,683769
"Devin Smeltzer","- - -",13,89,370,0.14864865,19487,656970
"Jerad Eickhoff","PIT",1,4.1,27,0.14814815,12664,595191
"Bryan Hudson","LAD",0,5.2,27,0.14814815,19924,663542
"Alex Colomé","- - -",0,50,230,0.14782609,6661,517008
"Xzavion Curry","CLE",7,78.1,332,0.14759036,25595,675540
"Drew Steckenrider","SEA",0,14.1,68,0.14705882,18806,608716
"Drew Hutchison","DET",18,105.1,464,0.14655172,10732,571800
"Yonny Chirinos","- - -",9,88,378,0.14550265,16401,630023
