Name,Team,GS,IP,TBF,K%,PlayerId,MLBAMID
"Chasen Shreve","- - -",0,67.2,294,0.2414966,10855,592741
"Trevor Gott","- - -",0,88.2,377,0.24137931,15046,641627
"Michael Plassmeyer","PHI",0,7.1,29,0.24137931,23191,674681
"Connor Brogdon","PHI",1,73,315,0.24126984,21205,641401
"Nate Pearson","TOR",0,40,170,0.24117647,20160,663878
"Seth Martinez","HOU",0,79.1,340,0.24117647,21045,661527
"Seth Lugo","- - -",18,162.1,677,0.24076809,12447,607625
"Dylan Coleman","KCR",1,84.2,374,0.24064171,22276,669395
"Colin Poche","TBR",0,102,424,0.24056604,19403,621363
"Andre Jackson","- - -",1,36,154,0.24025974,21298,656578
"Sean Hjelle","SFG",0,42.1,204,0.24019608,21481,663546
"Manny Bañuelos","- - -",0,41,175,0.24,5365,544365
"Sam Selman","OAK",0,18.1,75,0.24,13397,572125
"Brooks Kriske","KCR",0,6.2,25,0.24,21189,621139
"Framber Valdez","HOU",54,351,1429,0.2393282,17295,664285
"Yency Almonte","LAD",0,83.1,343,0.23906706,15068,622075
"Bailey Ober","MIN",31,169.2,687,0.23871907,21224,641927
"Raynel Espinal","CIN",0,4.2,21,0.23809524,19516,642659
"Ben Joyce","LAA",0,4,21,0.23809524,31461,690829
"Joe Mantiply","ARI",1,81,328,0.23780488,14857,573009
"Justin Steele","CHC",46,245,1035,0.23768116,17312,657006
"George Kirby","SEA",48,274.2,1111,0.23762376,25436,669923
"Noé Ramirez","ARI",0,50,215,0.2372093,12800,598287
"Logan Gilbert","SEA",56,327.2,1337,0.23709798,22250,669302
"Jimmy Yacabonis","- - -",1,27.2,135,0.23703704,15157,642231
"Will Vest","DET",5,94,401,0.23690773,19769,676684
"Jake Brentz","KCR",0,5.1,38,0.23684211,17783,641394
"Ryan Hendrix","CIN",0,8.1,38,0.23684211,19535,641682
"Ethan Roberts","CHC",0,7.2,38,0.23684211,24930,681799
"Taylor Clarke","KCR",1,95,410,0.23658537,17611,664199
"Kutter Crawford","BOS",27,167.1,702,0.23646724,20531,676710
"Bryce Miller","SEA",17,91.1,368,0.23641304,29837,682243
"Tim Mayza","TOR",0,90.1,356,0.23595506,15042,641835
"Keegan Akin","BAL",2,105.1,441,0.23582766,19362,669211
"Merrill Kelly","ARI",54,324.1,1308,0.23547401,11156,518876
"Zach Eflin","- - -",36,208,837,0.2353644,13774,621107
"David Phelps","TOR",1,63.2,272,0.23529412,6316,475479
"Víctor Arano","WSN",0,42,187,0.23529412,15915,644364
"Matt Swarmer","CHC",5,34,153,0.23529412,19705,664161
"Nick Robertson","- - -",0,14.1,68,0.23529412,26226,687798
"Ethan Small","MIL",2,9.1,51,0.23529412,26364,663629
"Tanner Bibee","CLE",19,108.2,451,0.23503326,30134,676440
"Luis Severino","NYY",33,169.2,737,0.23473541,15890,622663
"Rowan Wick","CHC",0,64,294,0.23469388,14646,592858
"Chris Murphy","BOS",0,33.2,145,0.23448276,26214,669684
"Touki Toussaint","- - -",10,75.2,329,0.23404255,16929,657053
"Frankie Montas","- - -",27,144.1,608,0.23355263,14309,593423
"Eric Lauer","MIL",37,201.1,848,0.23349057,19316,641778
"Kyle Wright","ATL",35,199,831,0.23345367,19665,657140
"Chris Stratton","- - -",1,127.1,536,0.23320896,13761,608717
"Jon Gray","TEX",45,248,1012,0.23320158,14916,592351
"Rony García","DET",8,51,206,0.23300971,20430,665621
"Gavin Hollowell","COL",0,22.1,103,0.23300971,25427,668970
"Reyes Moronta","- - -",0,39,172,0.23255814,14966,606625
"Chase Silseth","LAA",12,70,301,0.23255814,30074,681217
"Max Fried","ATL",38,227.1,900,0.23222222,13743,608331
"Jakob Junis","SFG",19,180,771,0.23216602,13619,596001
"Ronel Blanco","HOU",7,56.1,250,0.232,19407,669854
"Domingo Germán","NYY",33,181,742,0.23180593,17149,593334
"Steven Matz","STL",27,153,656,0.23170732,13361,571927
"Reese Olson","DET",10,60.2,251,0.2310757,24968,681857
"Yennier Cano","- - -",0,74.2,316,0.23101266,25911,666974
"Kendall Graveman","- - -",0,115.2,498,0.23092369,15514,608665
"Parker Markel","OAK",0,3,13,0.23076923,12106,571917
"Kyle Barraclough","- - -",0,12.1,52,0.23076923,13713,607457
"Cody Stashak","MIN",0,16.1,65,0.23076923,18088,664054
"Jared Solomon","CIN",0,8.1,39,0.23076923,23425,676660
"Max Meyer","MIA",2,6,26,0.23076923,27474,676974
"Jose Cuas","- - -",1,85,395,0.23037975,17701,621016
"Hoby Milner","MIL",0,113.1,465,0.23010753,13346,571948
"Gregory Soto","- - -",0,105,452,0.2300885,19677,642397
"Albert Abreu","- - -",0,89.2,400,0.23,17485,656061
"Jimmy Lambert","CHW",3,76.1,344,0.22965116,19541,669424
"Ryan Brasier","- - -",0,105.2,440,0.22954545,5615,518489
"Ross Detwiler","CIN",0,26.1,122,0.2295082,2859,446321
"Paul Fry","- - -",0,13,61,0.2295082,15832,643316
"Shintaro Fujinami","- - -",7,60.2,279,0.22939068,31839,660261
"Lucas Luetge","- - -",0,69,310,0.22903226,8337,476595
"Logan Allen","CLE",18,97.1,415,0.22891566,27589,671106
"Shane Bieber","CLE",50,317,1280,0.22890625,19427,669456
"Alec Marsh","KCR",6,33,153,0.22875817,27451,679525
"Gregory Santos","- - -",0,60.2,258,0.22868217,21894,666619
"Yerry Rodríguez","TEX",1,14.2,70,0.22857143,21955,666720
"Oliver Ortega","- - -",0,48,206,0.22815534,21025,661383
"Diego Castillo","SEA",0,63,263,0.22813688,17496,650895
"Nathan Eovaldi","- - -",39,233,939,0.22790202,9132,543135
"Greg Weissert","NYY",0,18,79,0.2278481,20375,669711
"Packy Naughton","STL",3,37,158,0.2278481,23292,676050
"JT Brubaker","PIT",28,144,646,0.22755418,17578,664141
"Eric Stout","- - -",0,22.1,110,0.22727273,16873,657770
"Joel Payamps","- - -",0,111,454,0.22687225,14332,606303
"Alex Cobb","SFG",50,271.1,1151,0.22675934,6562,502171
"José Ruiz","- - -",1,105,472,0.22669492,14552,614179
"Collin McHugh","ATL",1,120,499,0.22645291,7531,543521
"Drew Rasmussen","TBR",36,190.2,761,0.2260184,25385,656876
"Clarke Schmidt","NYY",27,175,749,0.22563418,19899,657376
"Tanner Houck","BOS",17,127.2,532,0.22556391,19879,656557
"Nick Nelson","PHI",2,68.2,306,0.2254902,20153,656793
"Mitch Keller","PIT",54,308.2,1327,0.22532027,17594,656605
"Jandel Gustave","MIL",0,28,120,0.225,14665,594311
"Trevor Rogers","MIA",27,125,556,0.22482014,22286,669432
"Bobby Miller","LAD",14,75.1,312,0.22435897,27483,676272
"Drey Jameson","ARI",7,65,272,0.22426471,26260,686753
"Kyle Bradish","BAL",45,239.1,1004,0.22410359,24586,680694
"Dylan Floro","- - -",0,98.2,415,0.22409639,13394,571670
"Kolby Allard","- - -",3,33.1,143,0.22377622,18694,663465
"Logan Webb","SFG",57,355.1,1431,0.22361985,17995,657277
"Chris Bassitt","- - -",55,327.1,1360,0.22352941,12304,605135
"Anderson Espinoza","CHC",0,18.1,85,0.22352941,18593,659262
"Michael Kopech","CHW",47,231.1,990,0.22323232,17282,656629
