,Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time,SO,IP,win,wager_return
7,Matthew Liberatore,L,STL,CLE,3.73,4.5,130.0,0.435,0.319,-0.116,-166.0,0.624,0.681,0.057,0,1,2023-05-26 19:10:00,2,5.0,True,60.24
11,Louie Varland,R,MIN,TOR,4.67,4.5,-156.0,0.609,0.499,-0.11,124.0,0.446,0.501,0.055,0,1,2023-05-26 20:10:00,3,6.0,True,124.0
13,Freddy Peralta,R,MIL,SFG,6.12,6.5,-118.0,0.541,0.414,-0.127,-106.0,0.515,0.586,0.071,0,1,2023-05-26 20:10:00,4,2.1,True,94.34
19,Reid Detmers,L,LAA,MIA,5.3,5.5,-160.0,0.615,0.436,-0.179,126.0,0.442,0.564,0.122,0,1,2023-05-26 21:38:00,5,5.0,True,126.0
21,James Kaprielian,R,OAK,HOU,3.92,4.5,110.0,0.476,0.355,-0.121,-140.0,0.583,0.645,0.062,0,1,2023-05-26 21:40:00,4,5.0,True,71.43
22,Chris Sale,L,BOS,ARI,5.46,6.5,112.0,0.472,0.308,-0.164,-142.0,0.587,0.692,0.105,0,1,2023-05-26 21:40:00,3,5.0,True,70.42
23,Mitch Keller,R,PIT,SEA,6.16,6.5,-116.0,0.537,0.419,-0.118,-110.0,0.524,0.581,0.057,0,1,2023-05-26 22:10:00,8,6.0,False,-100.0
24,George Kirby,R,SEA,PIT,5.15,5.5,-116.0,0.537,0.41,-0.127,-110.0,0.524,0.59,0.066,0,1,2023-05-26 22:10:00,4,4.2,True,90.91
6,Michael Lorenzen,R,DET,CHW,4.75,4.5,-168.0,0.627,0.515,-0.112,130.0,0.435,0.485,0.05,0,1,2023-05-27 13:10:00,4,6.2,True,130.0
7,Chris Bassitt,R,TOR,MIN,5.07,5.5,-110.0,0.524,0.396,-0.128,-116.0,0.537,0.604,0.067,0,1,2023-05-27 14:10:00,5,4.0,True,86.21
9,Dean Kremer,R,BAL,TEX,4.04,5.5,130.0,0.435,0.222,-0.213,-166.0,0.624,0.778,0.154,0,1,2023-05-27 16:05:00,5,6.1,True,60.24
10,Tyler Glasnow,R,TBR,LAD,4.84,6.5,106.0,0.485,0.215,-0.27,-134.0,0.573,0.785,0.212,0,1,2023-05-27 16:10:00,8,4.1,False,-100.0
