Name,Handedness,Team,Opponent,Date,RGID
Jared Shuster,L,STL,CHC,5/10/23,
Jordan Montgomery,L,CHC,STL,5/10/23,
Justin Steele,L,CHW,KCR,5/10/23,
Lance Lynn,R,KCR,CHW,5/10/23,
Brad Keller,R,SDP,MIN,5/10/23,
Seth Lugo,R,MIN,SDP,5/10/23,
Kodai Senga,R,NYM,CIN,5/11/23,
Derek Law,R,CIN,NYM,5/11/23,
Ben Lively,R,SDP,MIN,5/11/23,
Yu Darvish,R,MIN,SDP,5/11/23,
Bailey Ober,R,CHW,KCR,5/11/23,
Mike Clevinger,R,KCR,CHW,5/11/23,
Brady Singer,R,TBR,NYY,5/11/23,
Drew Rasmussen,R,NYY,TBR,5/11/23,
Domingo German,R,SFG,ARI,5/11/23,
Alex Cobb,R,ARI,SFG,5/11/23,
Tommy Henry,L,TEX,OAK,5/11/23,
Nathan Eovaldi,R,OAK,TEX,5/11/23,
Graham Ashcraft,R,CIN,MIA,5/12/23,
Eury Perez,R,MIA,CIN,5/12/23,
Marco Gonzales,L,SEA,DET,5/12/23,
Matthew Boyd,L,DET,SEA,5/12/23,
Tylor Megill,R,NYM,WAS,5/12/23,
MacKenzie Gore,L,WAS,NYM,5/12/23,
Johan Oviedo,R,PIT,BAL,5/12/23,
Kyle Bradish,R,BAL,PIT,5/12/23,
Trevor Kelley,R,TBR,NYY,5/12/23,
Josh Fleming,L,NYY,TBR,5/12/23,
Gerrit Cole,R,ATL,TOR,5/12/23,
Spencer Strider,R,TOR,ATL,5/12/23,
Chris Bassitt,R,STL,BOS,5/12/23,
Adam Wainwright,R,BOS,STL,5/12/23,
James Paxton,L,LAA,CLE,5/12/23,
Tyler Anderson,L,CLE,LAA,5/12/23,
Logan Allen,L,HOU,CHW,5/12/23,
J.P. France,R,CHW,HOU,5/12/23,
Michael Kopech,R,KCR,MIL,5/12/23,
Josh Taylor,L,MIL,KCR,5/12/23,
Corbin Burnes,R,CHC,MIN,5/12/23,
Drew Smyly,L,MIN,CHC,5/12/23,
Sonny Gray,R,PHI,COL,5/12/23,
Taijuan Walker,R,COL,PHI,5/12/23,
Austin Gomber,L,SFG,ARI,5/12/23,
John Brebbia,R,ARI,SFG,5/12/23,
Ross Stripling,R,TEX,OAK,5/12/23,
Ryne Nelson,R,OAK,TEX,5/12/23,
Martin Perez,L,SDP,LAD,5/12/23,
Ken Waldichuk,L,LAD,SDP,5/12/23,
Graham Ashcraft,R,CIN,MIA,5/12/23,
Eury Perez,R,MIA,CIN,5/12/23,
Marco Gonzales,L,SEA,DET,5/12/23,
Matthew Boyd,L,DET,SEA,5/12/23,
Tylor Megill,R,NYM,WAS,5/12/23,
MacKenzie Gore,L,WAS,NYM,5/12/23,
Johan Oviedo,R,PIT,BAL,5/12/23,
Kyle Bradish,R,BAL,PIT,5/12/23,
Trevor Kelley,R,TBR,NYY,5/12/23,
Josh Fleming,L,NYY,TBR,5/12/23,
Gerrit Cole,R,ATL,TOR,5/12/23,
Spencer Strider,R,TOR,ATL,5/12/23,
