Name,Handedness,Team,Opponent,xK,prop_k,over,over_odds,x_over,over_diff,under,under_odds,x_under,under_diff,bet_over,bet_under,commence_time
Domingo German,R,SFG,ARI,4.34,5.5,130.0,0.435,0.27,-0.165,-166.0,0.624,0.73,0.106,0,1,2023-05-11 19:05:00
Alex Cobb,R,ARI,SFG,6.21,4.5,-110.0,0.524,0.742,0.218,-116.0,0.537,0.258,-0.279,1,0,2023-05-11 21:40:00
Graham Ashcraft,R,CIN,MIA,4.04,3.5,-136.0,0.576,0.575,-0.001,108.0,0.481,0.425,-0.056,0,0,2023-05-12 18:40:00
Marco Gonzales,L,SEA,DET,3.64,4.5,120.0,0.455,0.301,-0.154,-152.0,0.603,0.699,0.096,0,1,2023-05-12 18:40:00
Tylor Megill,R,NYM,WAS,3.95,3.5,-148.0,0.597,0.556,-0.041,116.0,0.463,0.444,-0.019,0,0,2023-05-12 19:05:00
MacKenzie Gore,L,WAS,NYM,5.39,5.5,-108.0,0.519,0.452,-0.067,-118.0,0.541,0.548,0.007,0,0,2023-05-12 19:05:00
Johan Oviedo,R,PIT,BAL,5.46,4.5,126.0,0.442,0.636,0.194,-160.0,0.615,0.364,-0.251,1,0,2023-05-12 19:05:00
Kyle Bradish,R,BAL,PIT,4.45,4.5,-144.0,0.59,0.459,-0.131,112.0,0.472,0.541,0.069,0,1,2023-05-12 19:05:00
Spencer Strider,R,TOR,ATL,10.39,8.5,110.0,0.476,0.707,0.231,-140.0,0.583,0.291,-0.292,1,0,2023-05-12 19:07:00
Chris Bassitt,R,STL,BOS,4.85,4.5,-132.0,0.569,0.533,-0.036,104.0,0.49,0.467,-0.023,0,0,2023-05-12 19:07:00
Adam Wainwright,R,BOS,STL,4.16,3.5,110.0,0.476,0.597,0.121,-140.0,0.583,0.403,-0.18,1,0,2023-05-12 19:10:00
Tyler Anderson,L,CLE,LAA,4.58,3.5,-154.0,0.606,0.671,0.065,120.0,0.455,0.329,-0.126,1,0,2023-05-12 19:10:00
Logan Allen,L,HOU,CHW,6.2,4.5,-138.0,0.58,0.74,0.16,108.0,0.481,0.26,-0.221,1,0,2023-05-12 19:10:00
J.P. France,R,CHW,HOU,4.77,4.5,100.0,0.5,0.519,0.019,-128.0,0.561,0.481,-0.08,0,0,2023-05-12 20:10:00
Michael Kopech,R,KCR,MIL,4.7,4.5,-132.0,0.569,0.506,-0.063,104.0,0.49,0.494,0.004,0,0,2023-05-12 20:10:00
Corbin Burnes,R,CHC,MIN,7.72,6.5,-126.0,0.558,0.651,0.093,-102.0,0.505,0.349,-0.156,1,0,2023-05-12 20:10:00
Drew Smyly,L,MIN,CHC,4.16,4.5,-122.0,0.55,0.402,-0.148,-106.0,0.515,0.598,0.083,0,1,2023-05-12 20:10:00
Sonny Gray,R,PHI,COL,5.39,6.5,120.0,0.455,0.298,-0.157,-152.0,0.603,0.702,0.099,0,1,2023-05-12 20:10:00
Taijuan Walker,R,COL,PHI,4.89,3.5,-152.0,0.603,0.719,0.116,120.0,0.455,0.281,-0.174,1,0,2023-05-12 20:40:00
Austin Gomber,L,SFG,ARI,3.12,3.5,-116.0,0.537,0.379,-0.158,-110.0,0.524,0.621,0.097,0,1,2023-05-12 20:40:00
Martin Perez,L,SDP,LAD,5.38,4.5,-112.0,0.528,0.623,0.095,-112.0,0.528,0.377,-0.151,1,0,2023-05-12 21:40:00
Ken Waldichuk,L,LAD,SDP,4.81,5.5,-106.0,0.515,0.351,-0.164,-122.0,0.55,0.649,0.099,0,1,2023-05-12 21:40:00
Shane McClanahan,L,TBR,NYY,6.73,6.5,108.0,0.481,0.509,0.028,-136.0,0.576,0.491,-0.085,1,0,2023-05-13 13:05:00
Nestor Cortes,L,NYY,TBR,5.57,4.5,-122.0,0.55,0.653,0.103,-102.0,0.505,0.347,-0.158,1,0,2023-05-13 13:05:00
Bryce Miller,R,SEA,DET,8.14,5.5,106.0,0.485,0.821,0.336,-134.0,0.573,0.179,-0.394,1,0,2023-05-13 13:10:00
Alex Faedo,R,DET,SEA,3.93,3.5,-118.0,0.541,0.553,0.012,-106.0,0.515,0.447,-0.068,0,0,2023-05-13 13:10:00
Hayden Wesneski,R,CHC,MIN,5.68,4.5,114.0,0.467,0.669,0.202,-146.0,0.593,0.331,-0.262,1,0,2023-05-13 14:10:00
Joe Ryan,R,MIN,CHC,5.67,7.5,118.0,0.459,0.212,-0.247,-150.0,0.6,0.788,0.188,0,1,2023-05-13 14:10:00
Bryce Elder,R,ATL,TOR,4.93,4.5,114.0,0.467,0.547,0.08,-146.0,0.593,0.453,-0.14,1,0,2023-05-13 15:07:00
Jose Berrios,R,TOR,ATL,5.1,5.5,104.0,0.49,0.402,-0.088,-132.0,0.569,0.598,0.029,0,1,2023-05-13 15:07:00
Joey Lucchesi,L,NYM,WAS,3.49,3.5,-146.0,0.593,0.461,-0.132,114.0,0.467,0.539,0.072,0,1,2023-05-13 16:05:00
