name,over,under,prop_k,commence_time
Eduardo Rodriguez,-118,-108,5.5,2023-05-17 13:10:00
Edward Cabrera,-108,-118,5.5,2023-05-17 18:40:00
Gerrit Cole,-134,104,6.5,2023-05-17 19:07:00
Griffin Canning,118,-150,4.5,2023-05-17 18:35:00
J.P. France,-106,-122,5.5,2023-05-17 20:10:00
Kodai Senga,-118,-108,5.5,2023-05-17 19:10:00
Kyle Bradish,-102,-126,5.5,2023-05-17 18:35:00
Luis Medina,-142,112,3.5,2023-05-17 15:37:00
MacKenzie Gore,112,-144,6.5,2023-05-17 18:40:00
Marco Gonzales,110,-140,3.5,2023-05-17 19:10:00
Mike Clevinger,-130,102,4.5,2023-05-17 20:10:00
Nathan Eovaldi,120,-152,6.5,2023-05-17 20:05:00
Peyton Battenfield,128,-164,4.5,2023-05-17 20:10:00
Rich Hill,-160,126,4.5,2023-05-17 13:10:00
Ross Stripling,-120,-106,3.5,2023-05-17 15:45:00
Ryne Nelson,-132,104,4.5,2023-05-17 15:37:00
Sonny Gray,-116,-110,5.5,2023-05-17 15:10:00
Spencer Strider,110,-140,9.5,2023-05-17 20:05:00
Taijuan Walker,-102,-124,4.5,2023-05-17 15:45:00
Adam Wainwright,-146,114,3.5,2023-05-18 19:45:00
Dylan Cease,116,-148,6.5,2023-05-18 14:10:00
Eury Perez,-118,-106,4.5,2023-05-18 13:10:00
Jose Berrios,108,-138,5.5,2023-05-18 19:07:00
Julio Urias,-164,128,4.5,2023-05-18 19:45:00
Logan Allen,122,-156,5.5,2023-05-18 14:10:00
Nestor Cortes,-110,-116,4.5,2023-05-18 19:07:00
Taj Bradley,104,-130,4.5,2023-05-18 13:10:00
Trevor Williams,112,-144,4.5,2023-05-18 13:10:00
Tyler Anderson,102,-130,4.5,2023-05-18 12:35:00
Tyler Wells,-116,-110,5.5,2023-05-18 12:35:00
Tylor Megill,-144,114,4.5,2023-05-18 13:10:00
Adrian Houser,-108,-118,3.5,2023-05-19 18:40:00
Anthony DeSclafani,-116,-110,4.5,2023-05-19 22:15:00
Blake Snell,120,-152,6.5,2023-05-19 21:40:00
Brandon Bielak,-140,110,4.5,2023-05-19 20:10:00
Bryce Elder,100,-128,5.5,2023-05-19 19:20:00
Bryce Miller,-118,-108,4.5,2023-05-19 19:20:00
Cal Quantrill,-102,-124,3.5,2023-05-19 19:10:00
Carlos Carrasco,100,-128,3.5,2023-05-19 19:10:00
Clarke Schmidt,-126,-102,5.5,2023-05-19 18:40:00
Jake Irvin,-122,-104,4.5,2023-05-19 19:05:00
James Paxton,-116,-110,5.5,2023-05-19 21:40:00
Joe Ryan,-116,-110,6.5,2023-05-19 21:38:00
Johan Oviedo,120,-154,4.5,2023-05-19 18:35:00
Karl Kauffmann,-110,-116,3.5,2023-05-19 20:05:00
Ken Waldichuk,-154,122,3.5,2023-05-19 20:10:00
