Name,Handedness,Team,Opponent,xK,Poisson_0,Poisson_1,Poisson_2,Poisson_3,Poisson_4,Poisson_5,Poisson_6,Poisson_7,Poisson_8,Poisson_9,Poisson_10,Poisson_11,Poisson_12,Poisson_13,Poisson_14,Poisson_15,Poisson_16,Poisson_17,Poisson_18,Poisson_19,Poisson_20,over,under,prop_k,commence_time,x_under,x_over
Bailey Ober,R,MIN,MIL,5.83,0.0029414331587844698,0.017145197220993072,0.049968462969973614,0.09708636416361985,0.14147566604422587,0.16492832339606747,0.16022397242584543,0.133417548447578,0.09720899887031627,0.0629574982789685,0.03669703393767783,0.019445619326692323,0.009445480044447403,0.004235105015582789,0.001763273373023518,0.0006851913812768049,0.0002496177188964697,8.558743085038429e-05,2.771538948597179e-05,8.502583124085555e-06,2.4780176308778756e-06,-128,100,5.5,2023-06-14 13:10:00,0.474,0.526
Anthony DeSclafani,R,SFG,STL,4.26,0.014110019022041877,0.06012095907850836,0.1280838004142044,0.18191614793462002,0.19378027181628954,0.16513451574927007,0.11726945522778451,0.07138141757787181,0.03801836906156166,0.017999037161790944,0.007669156044128342,0.002970661652645971,0.0010548003005041182,0.0003457205484957017,0.0001052193121793218,2.988838853640025e-05,7.959408937155026e-06,1.994941651253306e-06,4.722326312626666e-07,1.0590115418333959e-07,2.2561553414908144e-08,-152,120,3.5,2023-06-14 13:15:00,0.384,0.616
Jose Berrios,R,TOR,BAL,4.41,0.012109634403135429,0.05344894621415377,0.11795524771019603,0.17354181198916752,0.19149271287071548,0.16904034209289096,0.12435041185341533,0.07840744524565357,0.04325889601835403,0.021214902389988466,0.00936373584067428,0.0037572023357636242,0.0013819472088268737,0.00046919806911545245,0.00014792320091751136,4.3526440443808476e-05,1.2007187297766005e-05,3.1174570530649193e-06,7.644271256678953e-07,1.7757859031598207e-07,3.918940988064293e-08,-110,-116,4.5,2023-06-14 19:05:00,0.549,0.451
Kyle Bradish,R,BAL,TOR,4.67,0.009332490621083272,0.04362242556950416,0.10195113447357793,0.1588484773561957,0.1856245069415185,0.17353119476250584,0.1351881281368644,0.09027193730208316,0.05274423819241375,0.027393325797496967,0.012804334493547903,0.005440973038955679,0.002119373872191233,0.0007620377251191057,0.00025442552793589294,7.928329178845369e-05,2.3161887025727664e-05,6.3685016513011976e-06,1.6537772328758684e-06,4.06851251288362e-07,9.508629125804644e-08,106,-134,4.5,2023-06-14 19:05:00,0.499,0.501
Garrett Whitlock,R,BOS,COL,4.21,0.014788140864179775,0.06231618617842354,0.13129801424972196,0.18442686780778536,0.19429046450408738,0.16374527224116542,0.11500184465979144,0.06922995574148137,0.03646627093571997,0.017074033621746528,0.007194877758884757,0.0027562462877367567,0.0009678856772108472,0.00031373863179888744,9.44337530327629e-05,2.6529146517085722e-05,6.986997422026367e-06,1.731924472764546e-06,4.0545599974333803e-07,8.992437286216146e-08,1.894674933354858e-08,120,-152,5.5,2023-06-14 19:10:00,0.751,0.249
Gerrit Cole,R,NYY,NYM,7.26,0.0007050946019831071,0.0051169974402308195,0.018567482100760764,0.044915844443145475,0.08149057601453863,0.11827833249511088,0.14306116345003403,0.14831720151175753,0.13454555217543074,0.10849123320785203,0.07873402534222826,0.051944261999109315,0.031414065447926236,0.01753672944487801,0.009090512659788228,0.004398098248537023,0.001994861524286174,0.0008515921363541167,0.0003433420115690697,0.0001311418047854723,4.758597481154674e-05,-110,-116,6.5,2023-06-14 19:10:00,0.412,0.588
Justin Verlander,R,NYM,NYY,5.63,0.003601697303015746,0.020264409878591235,0.05700733198535407,0.10691440213191146,0.15038446352164972,0.16922312741956927,0.15868475917802718,0.12754514373687803,0.08970170357402707,0.05607702070261746,0.03155089494435278,0.016137852729837608,0.0075664340717905365,0.0032747236062567854,0.001316052956887878,0.0004936383098782815,0.00017358637125704362,5.745045249090655e-05,1.795757541577019e-05,5.317663459248295e-06,1.4959518092259839e-06,114,-146,6.5,2023-06-14 19:10:00,0.666,0.334
Josiah Gray,R,WAS,HOU,4.44,0.01176438620929619,0.05226538484328067,0.11609914891512457,0.17193039483950986,0.1909578641137151,0.1696728767518303,0.12563367159058184,0.07973571467717945,0.04428001745284132,0.021857986486283454,0.009710800506549995,0.0039219967217677225,0.0014520141862231692,0.0004962178541412555,0.00015746688262231488,4.663831484792992e-05,1.2949939708940057e-05,3.3842598707444753e-06,8.352876847845253e-07,1.9531129364523402e-07,4.3385263561565283e-08,-168,132,3.5,2023-06-14 20:10:00,0.352,0.648
Ben Lively,R,CIN,KCR,4.96,0.00701024815843114,0.0347735100279492,0.08624494970335657,0.14260263714833615,0.17684089495911023,0.17543968473687632,0.1450413142450795,0.10278005003497899,0.06372854105503435,0.035124213252764463,0.01742295214328293,0.007856772845315444,0.003247716333162327,0.0012392241706146883,0.0004390732493126643,0.00014519807471309357,4.501487137978712e-05,1.313476269024191e-05,3.6196357088898623e-06,9.449882347882458e-07,2.3437513990986266e-07,-118,-108,4.5,2023-06-14 20:10:00,0.447,0.553
Eury Perez,R,MIA,SEA,5.12,0.005986371168264096,0.03063986315371995,0.07841154413007398,0.13377714780722555,0.17117688607574869,0.17522589953144285,0.1494755735353591,0.10929376052025262,0.06992437011859717,0.03976575515957731,0.020353186630876624,0.009470281981636264,0.0040392882402999096,0.001590320559850415,0.0005814064141309629,0.00019838632860039716,6.346217296161767e-05,1.9106854556661843e-05,5.43300210556916e-06,1.4635563660881583e-06,3.7454382224432296e-07,-106,-118,5.5,2023-06-14 21:40:00,0.595,0.405
Luis Castillo,R,SEA,MIA,7.6,0.0005014546157764892,0.0038100508927696062,0.014474378486890671,0.03665876361902839,0.06963329813917009,0.10581472436177188,0.13399666767398863,0.14544376278738147,0.13813516737645085,0.11661673885605366,0.08860536846437751,0.06120212398105618,0.03875113183678356,0.022648538534078576,0.012291681290335655,0.006226144208001064,0.00295663923911065,0.0013214433767119635,0.0005577957449282815,0.0002230595078150506,8.474027859684586e-05,-146,114,6.5,2023-06-14 21:40:00,0.365,0.635
Merrill Kelly,R,ARI,PHI,4.76,0.008572476024745833,0.040798116498959106,0.09708317089822302,0.15401269928550165,0.18324425841585687,0.17441916620203451,0.13834924398000653,0.094061648285676,0.055957258932037984,0.029590190256475118,0.014082559412533667,0.006092881639261975,0.002416436183037225,0.0008846384514926091,0.00030072643872310507,9.541445782156487e-05,2.8381022550050197e-05,7.94534851674325e-06,2.1007495609280816e-06,5.262044482737247e-07,1.252155755289991e-07,-150,118,5.5,2023-06-14 21:40:00,0.658,0.342
Aaron Civale,R,CLE,SDP,3.93,0.01957877928916406,0.07700938856399246,0.15145086012288309,0.1985676764844574,0.19525700669070703,0.1536012279009531,0.10069351506061029,0.05657981541174046,0.027818237066579946,0.012157524655682017,0.00478193010073872,0.0017098916952835315,0.00056046103121672,0.0001695743393729111,4.764201952087926e-05,1.2492718907786271e-05,3.071107723257357e-06,7.105656242861158e-07,1.5527078649992677e-07,3.214357790568462e-08,6.321531195118564e-09,-106,-120,4.5,2023-06-14 21:40:00,0.642,0.358
Michael Wacha,R,SDP,CLE,5.03,0.006556614661818266,0.03296194344085973,0.08285447379769705,0.13884423695284023,0.17450224397736983,0.17545435847498939,0.14700972322865152,0.1055798812618046,0.0663474646243582,0.037060815496888,0.01863151286584512,0.008515077104680023,0.0035673070173633777,0.0013795272549750324,0.0004953764981624709,0.0001660264527409259,5.216635057876925e-05,1.542675859762166e-05,4.308591574210577e-06,1.1400263149592911e-06,2.865616240466909e-07,110,-140,4.5,2023-06-14 21:40:00,0.436,0.564
Tyler Glasnow,R,TBR,OAK,5.95,0.0026037843106482624,0.015494572044651222,0.04610246744806489,0.09144869135139454,0.13604797551188835,0.16191856978914443,0.16059055113901743,0.13652007822053672,0.10155027909180377,0.0671449247973252,0.03995653059472573,0.021615718022502853,0.010719215452000821,0.004906753350791889,0.0020856468407008093,0.0008274163391281369,0.00030773627315040943,0.00010772198521119485,3.5612824803196734e-05,1.1153916837808635e-05,3.31873049769715e-06,-110,-116,8.5,2023-06-14 21:40:00,0.852,0.148
Luis Medina,R,OAK,TBR,5.12,0.005986371168264096,0.03063986315371995,0.07841154413007398,0.13377714780722555,0.17117688607574869,0.17522589953144285,0.1494755735353591,0.10929376052025262,0.06992437011859717,0.03976575515957731,0.020353186630876624,0.009470281981636264,0.0040392882402999096,0.001590320559850415,0.0005814064141309629,0.00019838632860039716,6.346217296161767e-05,1.9106854556661843e-05,5.43300210556916e-06,1.4635563660881583e-06,3.7454382224432296e-07,-104,-122,4.5,2023-06-14 21:40:00,0.42,0.58
Mike Clevinger,R,CHW,LAD,4.21,0.014813121910985482,0.062396452419101155,0.13141447487858218,0.18451651803980657,0.19430705099832435,0.16369365938076216,0.11491954779729895,0.06915270450509982,0.03641098971433463,0.01704132173334177,0.007178216901762568,0.002748762347675094,0.0009648709888704102,0.0003126361525918745,9.40642209797544e-05,2.6414750039289484e-05,6.954082265259491e-06,1.723075089577442e-06,4.032227248224983e-07,8.939324455878055e-08,1.8827298405491698e-08,-106,-122,4.5,2023-06-14 22:10:00,0.587,0.413
